y4_hhid,farmer,output1,output2,prod_2,prod_3,maize,paddy,land_1,land_2,input,seedcost,fertile,herbi,pesti,capital,machin_1,machin_2,machin_3,irri_ratio,labour_total,laborE,labour_wage,hh_e66_m,hh_e66_f,hh_e66_t,hh_e66_c,head_sex,n_children,n_fam,n_female,edu_head,laborM,laborF,laborT,laborC,laborTC,laborM2,laborF2,laborT2,laborC2,laborTC2,laborM3,laborF3,laborT3,laborC3,laborTC3,output11,output22,input22,capital22,defl2014,input22_d,capital22_d,output22_d,output11_d,male_days,female_days,children_days,male_hours,female_hours,children_hours
1000-001,1,0,310000,310000,0,1,0,3,3.1500001,78000,54000,0,24000,0,113000,53000,3000,110000,0,0,0,0,40,12,0,0,1,0,6,2,14,2080,624,0,0,0,800,240,0,0,0,960,288,0,0,0,0,310,78,113,.92944002,83.921501,121.57858,333.53415,0,,3,,,15,
1001-001,1,600000,470000,470000,0,1,0,3,3.8399999,93000,93000,0,0,0,484000,464000,464000,20000,0,1,3.2,20000,42,42,0,0,1,1,7,1,17,2184,2184,0,0,0,840,840,0,0,0,1008,1008,0,0,0,600,470,93,484,.92944002,100.06025,520.74365,505.68082,645.54999,8,9,5,80,90,50
1002-001,1,1008000,580000,580000,0,1,0,6,7.8099999,113000,113000,0,0,0,4075000,4015000,4015000,60000,0,74,236.8,185000,0,0,0,0,1,0,3,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1008,580,113,4075,.92944002,121.57858,4384.3604,624.03168,1084.524,0,28,,0,56,
1003-001,1,30333,140000,140000,0,1,0,5,3.21,0,0,0,0,0,1210000,1210000,1210000,0,0,7,22.4,0,0,60,30,0,2,0,3,2,0,0,3120,1560,0,1560,0,1200,600,0,600,0,1440,720,0,720,30.333,140,0,1210,.92944002,0,1301.8591,150.62833,32.63578,,,,,,
1005-001,1,350000,280000,280000,0,1,0,4,2.9100001,35000,11000,0,24000,0,1420000,1305000,1305000,115000,0,10,32,115000,35,36,0,1,1,2,4,1,17,1820,1872,0,52,52,700,720,0,20,20,840,864,0,24,24,350,280,35,1420,.92944002,37.657082,1527.8016,301.25665,376.57083,35,5,,220,35,
1006-001,1,0,238000,238000,0,1,0,3,2.97,60000,40000,0,20000,0,1032000,972000,972000,60000,0,3,9.6000004,4500,20,45,0,0,1,0,7,2,17,1040,2340,0,0,0,400,900,0,0,0,480,1080,0,0,0,0,238,60,1032,.92944002,64.555,1110.3459,256.06818,0,132,78,,915,540,
1007-001,1,60000,258000,258000,0,1,0,1.6,3.6900001,64500,64500,0,0,0,30000,0,0,30000,0,39,124.8,150000,14,14,0,0,1,1,3,1,17,728,728,0,0,0,280,280,0,0,0,336,336,0,0,0,60,258,64.5,30,.92944002,69.396622,32.2775,277.58649,64.555,21,5,,98,10,
1009-001,1,0,0,0,0,1,0,1.2,1.4299999,46000,33000,0,13000,0,8802500,8802500,8802500,0,0,10,32,100000,16,7,0,0,1,1,3,1,17,832,364,0,0,0,320,140,0,0,0,384,168,0,0,0,0,0,46,8802.5,.92944002,49.492165,9470.7568,0,0,8,6,,33,25,
1025-001,1,0,0,0,0,1,0,.69999999,.79000002,146000,16000,120000,10000,0,42000,0,0,42000,0,20,64,50000,0,0,0,0,1,0,2,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,42,.92944002,157.08383,45.188499,0,0,9,9,,63,63,
1038-001,1,0,900000,900000,0,1,0,7,0,290000,200000,0,0,90000,250000,10000,10000,240000,0,65,208,404000,70,0,0,0,1,2,5,1,17,3640,0,0,0,0,1400,0,0,0,0,1680,0,0,0,0,0,900,290,250,.92944002,312.01584,268.97916,968.32501,0,21,,,175,,
1041-001,1,0,0,0,0,1,0,.2,.16,12000,12000,0,0,0,6000,6000,6000,0,0,0,0,0,0,0,0,0,1,0,1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,.92944002,12.911,6.4555001,0,0,36,,,41,,
1042-001,1,0,7000,0,7000,0,0,.2,.090000004,500,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,.5,0,.92944002,.53795832,0,7.5314164,0,2,,,14,,
1043-001,1,0,0,0,0,0,0,.1,0,0,0,0,0,0,14000,14000,14000,0,0,0,0,0,0,0,0,0,1,2,9,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,.92944002,0,15.062833,0,0,2,2,,2,2,
1057-001,1,0,0,0,0,1,0,2,8.8000002,0,0,0,0,0,215000,215000,215000,0,0,42,134.39999,60000,0,14,0,0,1,0,2,1,0,0,728,0,0,0,0,280,0,0,0,0,336,0,0,0,0,0,0,215,.92944002,0,231.32208,0,0,42,42,,252,252,
1058-001,1,210000,360000,360000,0,1,0,3,0,0,0,0,0,0,70000,10000,10000,60000,0,2,6.4000001,15000,0,35,0,0,1,1,6,1,23,0,1820,0,0,0,0,700,0,0,0,0,840,0,0,0,210,360,0,70,.92944002,0,75.314163,387.32999,225.9425,61,61,,366,366,
1059-001,1,0,360000,360000,0,1,0,85,89.589996,0,0,0,0,0,4338000,4338000,4338000,0,0,115,368,130000,126,112,42,0,1,2,10,3,17,6552,5824,2184,0,2184,2520,2240,840,0,840,3024,2688,1008,0,1008,0,360,0,4338,.92944002,0,4667.3267,387.32999,0,246,326,130,1680,2304,896
1060-001,1,0,0,0,0,0,0,5,10.56,28000,28000,0,0,0,515000,515000,515000,0,0,31,99.199997,0,14,7,14,70,1,0,5,1,17,728,364,728,3640,4368,280,140,280,1400,1680,336,168,336,1680,2016,0,0,28,515,.92944002,30.125666,554.09711,0,0,12,61,39,69,141,119
1061-001,1,0,0,0,0,0,0,90,59.09,15000,15000,0,0,0,730000,730000,730000,0,0,0,0,0,0,0,70,112,1,2,7,0,0,0,0,3640,5824,9464,0,0,1400,2240,3640,0,0,1680,2688,4368,0,0,15,730,.92944002,16.13875,785.41919,0,0,164,,164,1072,,1072
1062-001,1,0,0,0,0,1,0,4,4.4000001,0,0,0,0,0,2515000,2515000,2515000,0,0,14,44.799999,0,20,14,0,50,1,2,6,1,0,1040,728,0,2600,2600,400,280,0,1000,1000,480,336,0,1200,1200,0,0,0,2515,.92944002,0,2705.9304,0,0,106,106,5,561,561,20
1063-001,1,0,80000,80000,0,1,0,40,12.13,0,0,0,0,0,2665000,2665000,2665000,0,0,70,224,0,60,28,0,147,1,2,9,2,0,3120,1456,0,7644,7644,1200,560,0,2940,2940,1440,672,0,3528,3528,0,80,0,2665,.92944002,0,2867.3179,86.073334,0,38,110,,280,712,
1064-001,1,0,0,0,0,0,0,3,1.23,0,0,0,0,0,6000,6000,6000,0,0,20,64,25000,0,18,0,0,2,1,2,1,0,0,936,0,0,0,0,360,0,0,0,0,432,0,0,0,0,0,0,6,.92944002,0,6.4555001,0,0,,43,,,155,
1076-001,1,0,0,0,0,1,0,1,.27000001,0,0,0,0,0,7000,7000,7000,0,0,3,9.6000004,9000,7,5,0,0,1,1,3,1,14,364,260,0,0,0,140,100,0,0,0,168,120,0,0,0,0,0,0,7,.92944002,0,7.5314164,0,0,14,,,50,,
1077-001,1,300000,900000,900000,0,1,0,3.2,1.8199999,195000,124000,10000,40000,21000,158000,258000,158000,0,0,88,281.60001,225000,35,28,20,0,1,0,5,1,17,1820,1456,1040,0,1040,700,560,400,0,400,840,672,480,0,480,300,900,195,158,.92944002,209.80374,169.99483,968.32501,322.77499,51,15,3,328,74,12
1078-001,1,0,0,0,0,1,0,5,1.88,286000,196000,0,70000,20000,329000,329000,329000,0,0,6,19.200001,40000,60,28,0,49,1,1,5,1,13,3120,1456,0,2548,2548,1200,560,0,980,980,1440,672,0,1176,1176,0,0,286,329,.92944002,307.71216,353.97659,0,0,118,118,21,932,932,126
1079-001,1,0,225000,225000,0,1,0,2,1.96,148000,102000,0,28000,18000,990000,960000,960000,30000,0,24,76.800003,95000,0,21,21,0,1,1,7,1,17,0,1092,1092,0,1092,0,420,420,0,420,0,504,504,0,504,0,225,148,990,.92944002,159.23567,1065.1575,242.08125,0,15,15,7,43,43,26
1080-001,1,0,0,0,0,0,0,.2,.11,3000,3000,0,0,0,7000,7000,7000,0,0,6,19.200001,0,2,2,0,0,1,3,5,1,17,104,104,0,0,0,40,40,0,0,0,48,48,0,0,0,0,0,3,7,.92944002,3.2277501,7.5314164,0,0,7,2,,27,6,
1081-001,1,0,0,0,0,1,0,1,.75,20000,20000,0,0,0,5000,705000,5000,0,0,3,9.6000004,20000,5,28,0,0,1,1,3,1,17,260,1456,0,0,0,100,560,0,0,0,120,672,0,0,0,0,0,20,5,.92944002,21.518333,5.3795834,0,0,21,21,,154,154,
1082-001,1,0,0,0,0,1,0,1,1.59,30000,30000,0,0,0,0,0,0,0,0,12,38.400002,18000,0,0,0,0,2,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,.92944002,32.2775,0,0,0,,80,,,360,
1083-001,1,33000,0,0,0,1,0,1,1.97,6000,6000,0,0,0,36000,6000,6000,30000,0,4,12.8,30000,0,28,0,0,2,0,3,1,17,0,1456,0,0,0,0,560,0,0,0,0,672,0,0,0,33,0,6,36,.92944002,6.4555001,38.732998,0,35.505249,3,5,,20,32,
1172-001,1,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.92944002,0,0,0,0,,,,,,
1209-001,1,0,0,0,0,0,0,3,.079999998,0,0,0,0,0,12000,12000,12000,0,0,0,0,0,0,0,0,0,1,2,5,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,.92944002,0,12.911,0,0,3,,,3,,
1217-001,1,0,0,0,0,0,0,.30000001,.039999999,0,0,0,0,0,8000,8000,8000,0,0,0,0,0,14,8,0,0,1,0,4,1,22,728,416,0,0,0,280,160,0,0,0,336,192,0,0,0,0,0,0,8,.92944002,0,8.6073332,0,0,,,,,,
1230-001,1,0,0,0,0,0,0,.5,.02,0,0,0,0,0,12000,12000,12000,0,0,0,0,0,0,0,0,0,2,0,1,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,.92944002,0,12.911,0,0,,16,,,19,
1231-001,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.92944002,0,0,0,0,,,,,,
1233-001,1,0,0,0,0,0,0,8.5,0,0,0,0,0,0,16245000,26365000,16245000,0,0,0,0,0,7,0,0,0,1,1,8,4,25,364,0,0,0,0,140,0,0,0,0,168,0,0,0,0,0,0,0,16245,.92944002,0,17478.266,0,0,,,,,,
1287-001,1,0,6000,6000,0,0,0,.2,.02,1000,1000,0,0,0,11500,11500,11500,0,0,0,0,0,0,0,0,0,1,1,4,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,11.5,.92944002,1.0759166,12.373041,6.4555001,0,,4,4,,6,6
1305-001,1,11000000,0,0,0,0,1,5,0,300000,0,200000,100000,0,1000000,0,0,1000000,0,31,99.199997,1700000,0,0,0,0,1,0,2,1,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11000,0,300,1000,.92944002,322.77499,1075.9166,0,11835.083,,,,,,
1307-001,1,0,0,0,0,1,0,.30000001,0,4000,0,4000,0,0,20000,20000,20000,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,20,.92944002,4.3036666,21.518333,0,0,10,,,22,,
1308-001,1,0,0,0,0,1,0,.30000001,.11,24000,12000,0,0,12000,8000,8000,8000,0,0,0,0,0,4,4,0,0,1,1,5,1,32,208,208,0,0,0,80,80,0,0,0,96,96,0,0,0,0,0,24,8,.92944002,25.822001,8.6073332,0,0,12,12,,36,36,
1331-001,1,0,0,0,0,1,0,.2,.1,2400,2400,0,0,0,5000,5000,5000,0,0,3,9.6000004,22000,0,0,0,0,2,0,2,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4000001,5,.92944002,2.5822001,5.3795834,0,0,,3,,,4,
1333-001,1,0,0,0,0,1,0,.2,.050000001,17000,12000,5000,0,0,10000,10000,10000,0,0,0,0,0,3,8,0,0,1,1,5,1,17,156,416,0,0,0,60,160,0,0,0,72,192,0,0,0,0,0,17,10,.92944002,18.290583,10.759167,0,0,7,11,,50,102,
1400-001,1,0,0,0,0,0,0,.5,.2,0,0,0,0,0,19000,219000,19000,0,0,0,0,0,5,3,0,4,1,1,9,4,25,260,156,0,208,208,100,60,0,80,80,120,72,0,96,96,0,0,0,19,.92944002,0,20.442417,0,0,36,45,,55,70,
1403-001,1,0,1237000,1237000,0,0,0,.5,.1,28000,16000,12000,0,0,7000,7000,7000,0,.5,0,0,0,18,1,0,0,1,2,6,1,17,936,52,0,0,0,360,20,0,0,0,432,24,0,0,0,0,1237,28,7,.92944002,30.125666,7.5314164,1330.9089,0,11,,,30,,
1405-001,1,0,0,0,0,1,0,.1,.0099999998,5500,3500,0,0,2000,4000,4000,4000,0,.5,0,0,0,1,1,0,2,2,1,7,1,17,52,52,0,104,104,20,20,0,40,40,24,24,0,48,48,0,0,5.5,4,.92944002,5.9175415,4.3036666,0,0,12,12,,16,16,
1420-001,1,0,0,0,0,1,0,3.0999999,0,0,0,0,0,0,63500,5500,5500,58000,0,14,44.799999,95000,0,0,0,0,1,2,8,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.5,.92944002,0,68.320709,0,0,,,,,,
1421-001,1,0,0,0,0,0,0,.30000001,0,0,0,0,0,0,3000,3000,3000,0,0,0,0,0,0,4,0,0,2,0,3,1,24,0,208,0,0,0,0,80,0,0,0,0,96,0,0,0,0,0,0,3,.92944002,0,3.2277501,0,0,,21,,,24,
1426-001,1,0,0,0,0,0,1,1.1999999,.1,0,0,0,0,0,9000,9000,9000,0,0,4,12.8,30000,12,0,0,0,1,0,2,1,17,624,0,0,0,0,240,0,0,0,0,288,0,0,0,0,0,0,0,9,.92944002,0,9.6832495,0,0,54,2,,266,10,
1458-001,1,0,0,0,0,1,0,.30000001,.2,35000,2500,32500,0,0,6000,6000,6000,0,0,0,0,0,0,0,0,0,2,0,2,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,6,.92944002,37.657082,6.4555001,0,0,,20,,,80,
1462-001,1,0,30000,30000,0,1,0,.30000001,.0099999998,3000,1000,2000,0,0,12000,12000,12000,0,0,0,0,0,0,3,0,0,1,0,4,2,24,0,156,0,0,0,0,60,0,0,0,0,72,0,0,0,0,30,3,12,.92944002,3.2277501,12.911,32.2775,0,4,7,,4,11,
1516-001,1,0,431000,431000,0,0,0,6,0,35000,35000,0,0,0,18000,18000,18000,0,0,30,96,250000,0,0,0,0,1,1,5,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,431,35,18,.92944002,37.657082,19.366499,463.72009,0,25,70,,125,405,
1534-001,1,0,50000,0,50000,0,0,.30000001,.1,0,0,0,0,0,11000,11000,11000,0,0,0,0,0,0,4,0,0,1,0,5,1,17,0,208,0,0,0,0,80,0,0,0,0,96,0,0,0,0,50,0,11,.92944002,0,11.835083,53.795834,0,,,,,,
1541-001,1,0,0,0,0,0,0,.30000001,.059999999,3200,3200,0,0,0,5000,5000,5000,0,0,0,0,0,0,5,0,0,1,0,4,2,14,0,260,0,0,0,0,100,0,0,0,0,120,0,0,0,0,0,3.2,5,.92944002,3.4429333,5.3795834,0,0,,15,,,15,
1551-001,1,0,0,0,0,0,0,.30000001,.090000004,2600,2600,0,0,0,1500,1500,1500,0,0,0,0,0,0,4,0,0,1,2,6,1,17,0,208,0,0,0,0,80,0,0,0,0,96,0,0,0,0,0,2.5999999,1.5,.92944002,2.7973833,1.613875,0,0,,65,,,82,
1552-001,1,0,0,0,0,0,0,.5,.0099999998,4000,4000,0,0,0,0,7500,0,0,0,0,0,0,7,7,0,0,1,0,2,1,0,364,364,0,0,0,140,140,0,0,0,168,168,0,0,0,0,0,4,0,.92944002,4.3036666,0,0,0,7,7,,9,9,
1553-001,1,0,0,0,0,0,0,.5,0,0,0,0,0,0,11200,11200,11200,0,0,0,0,0,0,14,0,0,1,0,7,3,18,0,728,0,0,0,0,280,0,0,0,0,336,0,0,0,0,0,0,11.2,.92944002,0,12.050266,0,0,,,,,,
1556-001,1,0,0,0,0,1,0,.30000001,.0099999998,4800,4800,0,0,0,21500,21500,21500,0,0,0,0,0,1,1,0,2,1,1,6,1,17,52,52,0,104,104,20,20,0,40,40,24,24,0,48,48,0,0,4.8000002,21.5,.92944002,5.1644001,23.132208,0,0,3,7,,3,7,
1557-001,1,0,0,0,0,0,0,1,.80000001,1600,1600,0,0,0,6000,6000,6000,0,0,0,0,0,0,4,0,0,1,0,7,1,17,0,208,0,0,0,0,80,0,0,0,0,96,0,0,0,0,0,1.6,6,.92944002,1.7214667,6.4555001,0,0,22,,11,66,,33
1559-001,1,0,0,0,0,1,0,2,1,27400,27400,0,0,0,5000,12000,5000,0,0,7,22.4,140000,9,4,0,0,1,1,5,1,17,468,208,0,0,0,180,80,0,0,0,216,96,0,0,0,0,0,27.4,5,.92944002,29.480116,5.3795834,0,0,30,27,,122,104,
1571-001,1,0,0,0,0,0,0,.5,.0099999998,0,0,0,0,0,2000,2000,2000,0,0,0,0,0,0,2,0,0,2,0,1,0,0,0,104,0,0,0,0,40,0,0,0,0,48,0,0,0,0,0,0,2,.92944002,0,2.1518333,0,0,,10,,,12,
1572-001,1,0,0,0,0,0,0,5.1999998,0,0,0,0,0,0,2500,13002500,2500,0,0,17,54.400002,300000,0,0,0,0,1,0,6,1,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,.92944002,0,2.6897917,0,0,3,2,,4,3,
1573-001,1,0,0,0,0,0,0,.30000001,.029999999,1800,1800,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,2,2,4,1,24,0,364,0,0,0,0,140,0,0,0,0,168,0,0,0,0,0,1.8,0,.92944002,1.9366499,0,0,0,,84,,,84,
1576-001,1,0,0,0,0,0,0,.5,.090000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.92944002,0,0,0,0,,,,,,
1596-001,1,0,2480000,0,2480000,0,0,20.5,.52999997,47500,22500,0,0,25000,125000,105000,105000,20000,.25,26,83.199997,630000,0,7,0,0,1,0,4,2,17,0,364,0,0,0,0,140,0,0,0,0,168,0,0,0,0,2480,47.5,125,.92944002,51.106041,134.48958,2668.2732,0,8,7,,8,7,
1635-001,1,0,20000,20000,0,0,0,.30000001,.059999999,14200,6200,8000,0,0,15000,15000,15000,0,.5,14,44.799999,25000,16,38,0,0,2,0,5,2,17,832,1976,0,0,0,320,760,0,0,0,384,912,0,0,0,0,20,14.2,15,.92944002,15.278016,16.13875,21.518333,0,4,5,,18,20,
1636-001,1,360000,0,0,0,1,1,2,0,47000,47000,0,0,0,113000,8000,8000,105000,0,91,291.20001,130000,0,0,0,0,1,0,4,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360,0,47,113,.92944002,50.568085,121.57858,0,387.32999,,112,,,673,
1665-001,1,0,0,0,0,0,1,2.6000001,0,60000,0,0,60000,0,59000,89000,59000,0,0,210,672,777000,0,0,0,0,1,1,3,1,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,59,.92944002,64.555,63.479084,0,0,114,,,671,,
1710-001,1,0,460000,460000,0,0,0,2,0,34600,4600,0,30000,0,0,0,0,0,0,16,51.200001,75000,0,0,0,0,1,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,460,34.599998,0,.92944002,37.226715,0,494.92166,0,2,,,6,,
1744-001,1,0,0,0,0,0,1,1.3000001,0,15000,15000,0,0,0,2000,2000,2000,0,0,10,32,27000,0,0,0,0,2,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,.92944002,16.13875,2.1518333,0,0,,39,,,163,
1746-001,1,0,0,0,0,0,0,.30000001,0,0,0,0,0,0,5000,5000,5000,0,0,0,0,0,0,3,0,0,1,2,4,1,17,0,156,0,0,0,0,60,0,0,0,0,72,0,0,0,0,0,0,5,.92944002,0,5.3795834,0,0,18,,,162,,
1764-001,1,0,0,0,0,1,0,.30000001,.0099999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,9,1,17,0,104,0,0,0,0,40,0,0,0,0,48,0,0,0,0,0,0,0,.92944002,0,0,0,0,,4,,,11,
1765-001,1,0,0,0,0,0,1,.5,.25,0,0,0,0,0,15000,15000,15000,0,0,0,0,0,0,0,0,0,1,1,8,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,.92944002,0,16.13875,0,0,7,29,,56,324,
1766-001,1,0,0,0,0,0,1,.5,.47,80000,80000,0,0,0,5000,5000,5000,0,0,0,0,0,0,10,0,0,2,0,5,1,17,0,520,0,0,0,0,200,0,0,0,0,240,0,0,0,0,0,80,5,.92944002,86.073334,5.3795834,0,0,,61,,,305,
1768-001,1,0,0,0,0,0,1,2,1.1900001,0,0,0,0,0,11000,11000,11000,0,0,16,51.200001,80000,0,42,0,0,2,0,4,2,17,0,2184,0,0,0,0,840,0,0,0,0,1008,0,0,0,0,0,0,11,.92944002,0,11.835083,0,0,,136,,,802,
1779-001,1,0,115000,100000,15000,1,0,2.5,3.0699999,0,0,0,0,0,44000,4000,4000,40000,0,0,0,0,0,24,0,0,2,0,2,0,0,0,1248,0,0,0,0,480,0,0,0,0,576,0,0,0,0,115,0,44,.92944002,0,47.340332,123.73042,0,,77,35,,441,207
1780-001,1,300000,630000,630000,0,1,0,28,27.440001,48000,48000,0,0,0,160000,160000,160000,0,0,24,76.800003,50000,16,16,0,0,1,2,4,1,17,832,832,0,0,0,320,320,0,0,0,384,384,0,0,0,300,630,48,160,.92944002,51.644001,172.14667,677.82751,322.77499,102,102,,560,560,
1781-001,1,140000,667000,667000,0,0,0,10,25.08,0,0,0,0,0,166000,166000,166000,0,0,24,76.800003,180000,63,12,0,12,1,2,6,1,17,3276,624,0,624,624,1260,240,0,240,240,1512,288,0,288,288,140,667,0,166,.92944002,0,178.60216,717.63641,150.62833,74,55,,278,207,
1782-001,1,120000,230000,230000,0,1,0,6,8.7799997,50000,50000,0,0,0,1921000,1741000,1741000,180000,0,8,25.6,75000,50,90,0,0,1,0,4,1,0,2600,4680,0,0,0,1000,1800,0,0,0,1200,2160,0,0,0,120,230,50,1921,.92944002,53.795834,2066.8359,247.46083,129.11,72,138,,332,634,
1783-001,1,0,394000,394000,0,0,0,7,11.6,0,0,0,0,0,578000,578000,578000,0,0,17,54.400002,130000,30,0,8,8,1,3,9,1,17,1560,0,416,416,832,600,0,160,160,320,720,0,192,192,384,0,394,0,578,.92944002,0,621.87982,423.91116,0,53,53,,265,265,
1784-001,1,0,55000,55000,0,0,0,5,5.0900002,0,0,0,0,0,5000,5000,5000,0,0,0,0,0,0,12,0,0,1,2,4,1,17,0,624,0,0,0,0,240,0,0,0,0,288,0,0,0,0,55,0,5,.92944002,0,5.3795834,59.175415,0,68,68,,391,391,
1785-001,1,60000,180000,180000,0,1,0,7.5,5.7400002,0,0,0,0,0,980000,900000,825000,155000,0,10,32,120000,0,56,0,0,1,2,7,2,0,0,2912,0,0,0,0,1120,0,0,0,0,1344,0,0,0,60,180,0,980,.92944002,0,1054.3983,193.66499,64.555,,92,,,276,
1786-001,1,0,440000,440000,0,1,0,7,6.6900001,24000,24000,0,0,0,1807000,1807000,1807000,0,0,0,0,0,64,42,0,0,1,2,6,1,17,3328,2184,0,0,0,1280,840,0,0,0,1536,1008,0,0,0,0,440,24,1807,.92944002,25.822001,1944.1814,473.40332,0,80,80,,334,334,
1798-001,1,0,1170000,1170000,0,1,0,8,5.8000002,9000,9000,0,0,0,2623000,2623000,2623000,0,0,12,38.400002,72000,56,45,0,0,1,2,5,1,16,2912,2340,0,0,0,1120,900,0,0,0,1344,1080,0,0,0,0,1170,9,2623,.92944002,9.6832495,2822.1294,1258.8225,0,125,125,,546,546,
1799-001,1,250000,49000,49000,0,1,0,6.7000003,6.27,0,0,0,0,0,1175000,1175000,1175000,0,0,39,124.8,232000,25,25,0,0,1,1,8,2,17,1300,1300,0,0,0,500,500,0,0,0,600,600,0,0,0,250,49,0,1175,.92944002,0,1264.202,52.719917,268.97916,70,65,35,470,445,235
1800-001,1,0,35000,35000,0,0,0,3,3.0599999,0,0,0,0,0,495000,495000,495000,0,0,0,0,0,84,42,24,48,1,1,8,1,17,4368,2184,1248,2496,3744,1680,840,480,960,1440,2016,1008,576,1152,1728,0,35,0,495,.92944002,0,532.57874,37.657082,0,34,17,17,204,102,102
1801-001,1,0,0,0,0,0,0,8,7.3699999,0,0,0,0,0,910000,910000,910000,0,0,0,0,0,72,36,24,0,1,1,8,1,0,3744,1872,1248,0,1248,1440,720,480,0,480,1728,864,576,0,576,0,0,0,910,.92944002,0,979.08417,0,0,150,75,150,714,357,714
1802-001,1,0,277000,277000,0,1,0,10,10.51,0,0,0,0,0,1394000,1394000,1394000,0,0,0,0,0,58,58,53,0,1,1,7,1,22,3016,3016,2756,0,2756,1160,1160,1060,0,1060,1392,1392,1272,0,1272,0,277,0,1394,.92944002,0,1499.8278,298.0289,0,184,184,170,651,651,605
1803-001,1,180000,210000,210000,0,1,0,11.5,8.6800003,0,0,0,0,0,12000,12000,12000,0,0,25,80,33000,24,24,0,0,1,1,5,1,14,1248,1248,0,0,0,480,480,0,0,0,576,576,0,0,0,180,210,0,12,.92944002,0,12.911,225.9425,193.66499,66,66,,496,496,
1804-001,1,0,0,0,0,0,0,2,2.0699999,0,0,0,0,0,19000,19000,19000,0,0,4,12.8,28000,0,12,56,0,2,0,3,0,0,0,624,2912,0,2912,0,240,1120,0,1120,0,288,1344,0,1344,0,0,0,19,.92944002,0,20.442417,0,0,,29,17,,159,95
1805-001,1,0,30000,30000,0,0,0,2.5,1.96,15000,15000,0,0,0,4000,4000,4000,0,0,0,0,0,0,49,0,105,2,2,6,1,0,0,2548,0,5460,5460,0,980,0,2100,2100,0,1176,0,2520,2520,0,30,15,4,.92944002,16.13875,4.3036666,32.2775,0,,22,43,,132,258
1819-001,1,0,0,0,0,1,0,7,0,20000,20000,0,0,0,9000,9000,9000,0,0,7,22.4,250000,0,0,0,0,1,1,5,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,9,.92944002,21.518333,9.6832495,0,0,43,75,,276,490,
1836-001,1,0,0,0,0,1,0,2,1.04,3400,3400,0,0,0,6000,6000,6000,0,0,0,0,0,30,30,0,0,2,0,2,1,0,1560,1560,0,0,0,600,600,0,0,0,720,720,0,0,0,0,0,3.4000001,6,.92944002,3.6581168,6.4555001,0,0,32,32,,192,192,
1837-001,1,0,940000,940000,0,1,0,6,9.3999996,0,0,0,0,0,123000,123000,123000,0,0,13,41.599998,74000,93,53,53,76,1,0,6,1,0,4836,2756,2756,3952,6708,1860,1060,1060,1520,2580,2232,1272,1272,1824,3096,0,940,0,123,.92944002,0,132.33775,1011.3616,0,289,149,298,1525,776,1552
1838-001,1,0,125000,125000,0,0,0,4,4.4000001,0,0,0,0,0,5000,5000,5000,0,0,48,153.60001,12000,0,36,0,0,2,1,4,1,17,0,1872,0,0,0,0,720,0,0,0,0,864,0,0,0,0,125,0,5,.92944002,0,5.3795834,134.48958,0,,65,,,390,
