y4_hhid,farmer,output1,output2,prod_2,prod_3,maize,paddy,land_1,land_2,input,seedcost,fertile,herbi,pesti,capital,machin_1,machin_2,machin_3,irri_ratio,labour_total,laborE,labour_wage,hh_e66_m,hh_e66_f,hh_e66_t,hh_e66_c,head_sex,n_children,n_fam,n_female,edu_head,laborM,laborF,laborT,laborC,laborTC,laborM2,laborF2,laborT2,laborC2,laborTC2,laborM3,laborF3,laborT3,laborC3,laborTC3,output11,output22,input22,capital22,defl2014,input22_d,capital22_d,output22_d,output11_d,male_days,female_days,children_days,male_hours,female_hours,children_hours
7689-001,1,70000,1170000,1170000,0,1,1,11,2.02,21000,21000,0,0,0,29000,29000,29000,0,0,0,0,0,30,0,0,0,1,2,5,1,17,1560,0,0,0,0,600,0,0,0,0,720,0,0,0,0,70,1170,21,29,.92944002,22.59425,31.201584,1258.8225,75.314163,194,104,14,1012,548,84
7690-001,1,0,84000,60000,24000,0,1,1,0,0,0,0,0,0,8000,8000,8000,0,0,30,96,8000,8,16,0,0,1,0,3,0,14,416,832,0,0,0,160,320,0,0,0,192,384,0,0,0,0,84,0,8,.92944002,0,8.6073332,90.376999,0,0,80,,0,465,
7691-001,1,200000,579000,166000,413000,1,0,2.5,0,0,0,0,0,0,45000,45000,45000,0,0,0,0,0,12,0,0,0,1,0,1,0,14,624,0,0,0,0,240,0,0,0,0,288,0,0,0,0,200,579,0,45,.92944002,0,48.416248,622.95575,215.18333,123,,,622,,
7692-001,1,0,0,0,0,1,0,5,0,30000,0,0,30000,0,22500,22500,22500,0,0,0,0,0,3,2,0,0,1,0,4,1,17,156,104,0,0,0,60,40,0,0,0,72,48,0,0,0,0,0,30,22.5,.92944002,32.2775,24.208124,0,0,160,160,,800,800,
7693-001,1,375000,60000,60000,0,1,1,2.3,.86000001,2000,2000,0,0,0,116000,26000,26000,90000,0,0,0,0,0,6,0,0,1,2,4,1,22,0,312,0,0,0,0,120,0,0,0,0,144,0,0,0,375,60,2,116,.92944002,2.1518333,124.80634,64.555,403.46875,78,78,,468,468,
7695-001,1,0,150000,150000,0,0,0,10,0,20000,20000,0,0,0,25000,25000,25000,0,0,0,0,0,15,9,0,0,1,0,2,0,18,780,468,0,0,0,300,180,0,0,0,360,216,0,0,0,0,150,20,25,.92944002,21.518333,26.897917,161.3875,0,67,67,,328,328,
7707-001,1,240000,0,0,0,0,1,3,0,25000,15000,0,10000,0,134500,14500,14500,120000,0,2,6.4000001,120000,7,7,0,0,1,1,3,1,17,364,364,0,0,0,140,140,0,0,0,168,168,0,0,0,240,0,25,134.5,.92944002,26.897917,144.71078,0,258.22,100,100,,700,700,
7709-001,1,0,0,0,0,1,0,.5,.77999997,0,0,0,0,0,5000,5000,5000,0,0,0,0,0,0,7,0,0,2,0,4,2,24,0,364,0,0,0,0,140,0,0,0,0,168,0,0,0,0,0,0,5,.92944002,0,5.3795834,0,0,28,56,,96,156,
7711-001,1,0,0,0,0,1,0,10,0,6000,6000,0,0,0,87000,42000,42000,45000,0,0,0,0,21,21,0,0,1,0,4,1,14,1092,1092,0,0,0,420,420,0,0,0,504,504,0,0,0,0,0,6,87,.92944002,6.4555001,93.604752,0,0,25,25,,131,131,
7712-001,1,0,0,0,0,0,0,1.8000001,.22,0,0,0,0,0,15000,15000,15000,0,0,0,0,0,6,0,0,0,1,0,5,2,14,312,0,0,0,0,120,0,0,0,0,144,0,0,0,0,0,0,0,15,.92944002,0,16.13875,0,0,31,31,,31,31,
7713-001,1,0,0,0,0,0,0,5,0,0,0,0,0,0,17000,17000,17000,0,0,0,0,0,40,0,0,0,1,0,2,0,25,2080,0,0,0,0,800,0,0,0,0,960,0,0,0,0,0,0,0,17,.92944002,0,18.290583,0,0,,,,,,
