y4_hhid,labour_total,labore,labour_wage,labour_total_pola,labour_wage_pola,hourly_wage,hourly_wage_new
1971-001,28,89.599998,95000,28,95000,1060.2678,1060.2678
1972-001,0,0,0,0,0,,
1973-001,0,0,0,0,0,,
1974-001,21,67.199997,250000,21,250000,3720.2383,3720.2383
1975-001,30,96,32000,30,32000,333.33334,333.33334
1976-001,0,0,0,0,0,,
1988-001,8,25.6,50000,8,50000,1953.125,1953.125
1989-001,0,0,0,0,0,,
1990-001,0,0,0,0,0,,
1991-001,8,25.6,24000,8,24000,937.5,937.5
1992-001,13,41.599998,18000,13,18000,432.69232,432.69232
1993-001,21,67.199997,136000,21,136000,2023.8096,2023.8096
1994-001,14,44.799999,140000,14,140000,3125,3125
1995-001,4,12.8,15000,4,15000,1171.875,1171.875
2007-001,5,16,100000,5,100000,6250,6250
2008-001,49,156.8,305000,49,305000,1945.1531,1945.1531
2009-001,1,3.2,30000,1,30000,9375,9375
2010-001,25,80,135000,25,135000,1687.5,1687.5
2011-001,5,16,72000,5,72000,4500,4500
2012-001,14,44.799999,75000,14,75000,1674.1072,1674.1072
2013-001,0,0,0,0,0,,
2014-001,36,115.2,108000,36,108000,937.5,937.5
2026-001,27,86.400002,55000,27,55000,636.57404,636.57404
2027-001,0,0,0,0,0,,
2028-001,4,12.8,0,4,19770.629,1544.5803,359
2029-001,1,3.2,80000,1,80000,25000,25000
2030-001,0,0,0,0,0,,
2031-001,0,0,0,0,0,,
2032-001,13,41.599998,106000,13,106000,2548.0769,2548.0769
2033-001,9,28.799999,92500,9,92500,3211.8057,3211.8057
2045-001,0,0,0,0,0,,
2046-001,13,41.599998,85000,13,85000,2043.2693,2043.2693
2047-001,0,0,0,0,0,,
2048-001,43,137.60001,129000,43,129000,937.49994,937.49994
2049-001,0,0,0,0,0,,
2050-001,6,19.200001,7000,6,7000,364.58331,364.58331
2051-001,18,57.599998,102000,18,102000,1770.8334,1770.8334
2052-001,0,0,0,0,0,,
2064-001,32,102.4,20000,32,20000,195.3125,195.3125
2065-001,0,0,0,0,0,,
2066-001,0,0,0,0,0,,
2067-001,0,0,0,0,0,,
2068-001,0,0,0,0,0,,
2069-001,2,6.4000001,20000,2,20000,3125,3125
2070-001,0,0,0,0,0,,
2072-001,0,0,0,0,0,,
2083-001,0,0,0,0,0,,
2086-001,2,6.4000001,60000,2,60000,9375,9375
2087-001,2,6.4000001,35000,2,35000,5468.75,5468.75
2088-001,0,0,0,0,0,,
2089-001,0,0,0,0,0,,
2090-001,0,0,0,0,0,,
2102-001,0,0,0,0,0,,
2103-001,0,0,0,0,0,,
2105-001,0,0,0,0,0,,
2106-001,0,0,0,0,0,,
2107-001,13,41.599998,14000,13,14000,336.53848,336.53848
2108-001,0,0,0,0,0,,
2109-001,0,0,0,0,0,,
2110-001,0,0,0,0,0,,
2121-001,0,0,0,0,0,,
2122-001,22,70.400002,38000,22,38000,539.77271,539.77271
2123-001,9,28.799999,13000,9,13000,451.38892,451.38892
2124-001,6,19.200001,5000,6,5000,260.41666,260.41666
2125-001,187,598.40002,370000,187,370000,618.31549,618.31549
2126-001,0,0,0,0,0,,
2127-001,12,38.400002,12000,12,12000,312.5,312.5
2128-001,0,0,0,0,0,,
2140-001,0,0,0,0,0,,
2141-001,0,0,0,0,0,,
2142-001,0,0,0,0,0,,
2143-001,0,0,0,0,0,,
2144-001,0,0,0,0,0,,
2145-001,0,0,0,0,0,,
2146-001,14,44.799999,160000,14,160000,3571.4287,3571.4287
2147-001,0,0,0,0,0,,
2159-001,0,0,0,0,0,,
2160-001,0,0,0,0,0,,
2161-001,0,0,0,0,0,,
2162-001,0,0,0,0,0,,
2164-001,4,12.8,8000,4,8000,625,625
2165-001,0,0,0,0,0,,
2166-001,0,0,0,0,0,,
2179-001,0,0,0,0,0,,
2180-001,0,0,0,0,0,,
2181-001,215,688,215000,215,215000,312.5,312.5
2184-001,0,0,0,0,0,,
2185-001,12,38.400002,60000,12,60000,1562.4999,1562.4999
2197-001,4,12.8,28000,4,28000,2187.5,2187.5
2198-001,0,0,0,0,0,,
2199-001,16,51.200001,48000,16,48000,937.5,937.5
2200-001,3,9.6000004,30000,3,30000,3124.9998,3124.9998
2201-001,0,0,0,0,0,,
2202-001,0,0,0,0,0,,
2203-001,0,0,0,0,0,,
2204-001,0,0,0,0,0,,
2216-001,12,38.400002,110000,12,110000,2864.5833,2864.5833
2218-001,62,198.39999,138500,62,138500,698.08472,698.08472
2219-001,0,0,0,0,0,,
2220-001,0,0,0,0,0,,
2221-001,0,0,0,0,0,,
2222-001,219,700.79999,446000,219,446000,636.41553,636.41553
2223-001,0,0,0,0,0,,
2235-001,30,96,0,30,103592.05,1079.0839,359
2236-001,0,0,0,0,0,,
2237-001,0,0,0,0,0,,
2238-001,0,0,0,0,0,,
2239-001,0,0,0,0,0,,
2240-001,98,313.60001,0,98,322817.31,1029.392,359
2241-001,0,0,0,0,0,,
2242-001,0,0,0,0,0,,
2254-001,0,0,0,0,0,,
2255-001,32,102.4,40000,32,40000,390.625,390.625
2256-001,0,0,0,0,0,,
2257-001,0,0,0,0,0,,
2258-001,0,0,0,0,0,,
2259-001,1,3.2,2000,1,2000,625,625
2260-001,0,0,0,0,0,,
2261-001,2,6.4000001,6000,2,6000,937.5,937.5
2277-001,110,352,254000,110,254000,721.59088,721.59088
2280-001,40,128,300000,40,300000,2343.75,2343.75
2292-001,16,51.200001,0,16,58457.441,1141.7468,359
2293-001,0,0,0,0,0,,
2294-001,6,19.200001,35000,6,35000,1822.9166,1822.9166
2295-001,0,0,0,0,0,,
2296-001,0,0,0,0,0,,
2297-001,12,38.400002,0,12,45561.836,1186.5061,359
2298-001,0,0,0,0,0,,
2299-001,0,0,0,0,0,,
2311-001,0,0,0,0,0,,
2316-001,0,0,0,0,0,,
2332-001,61,195.2,25000,61,25000,128.07378,128.07378
2334-001,0,0,0,0,0,,
2337-001,0,0,0,0,0,,
2349-001,0,0,0,0,0,,
2350-001,0,0,0,0,0,,
2352-001,0,0,0,0,0,,
2353-001,0,0,0,0,0,,
2355-001,4,12.8,20000,4,20000,1562.5,1562.5
2356-001,0,0,0,0,0,,
2369-001,76,243.2,45000,76,45000,185.0329,185.0329
2371-001,0,0,0,0,0,,
2372-001,19,60.799999,108000,19,108000,1776.3158,1776.3158
2373-001,0,0,0,0,0,,
2374-001,28,89.599998,120000,28,120000,1339.2858,1339.2858
2375-001,0,0,0,0,0,,
2387-001,32,102.4,40000,32,40000,390.625,390.625
2389-001,28,89.599998,62000,28,62000,691.96429,691.96429
2394-001,0,0,0,0,0,,
2408-001,0,0,0,0,0,,
2425-001,0,0,0,0,0,,
2426-001,0,0,0,0,0,,
2428-001,44,140.8,405000,44,405000,2876.4204,2876.4204
2430-001,0,0,0,0,0,,
2431-001,0,0,0,0,0,,
2432-001,75,240,45000,75,45000,187.5,187.5
2435-001,6,19.200001,70,6,70,3.6458333,3.6458333
2445-001,0,0,0,0,0,,
2446-001,0,0,0,0,0,,
2447-001,0,0,0,0,0,,
2448-001,0,0,0,0,0,,
2449-001,0,0,0,0,0,,
2450-001,0,0,0,0,0,,
2451-001,0,0,0,0,0,,
2464-001,76,243.2,410000,76,410000,1685.8552,1685.8552
2468-001,2,6.4000001,75000,2,75000,11718.75,11718.75
2471-001,18,57.599998,0,18,64905.242,1126.8271,359
2482-001,3,9.6000004,35000,3,35000,3645.8333,3645.8333
2483-001,0,0,0,0,0,,
2484-001,0,0,0,0,0,,
2485-001,15,48,30000,15,30000,625,625
2486-001,0,0,0,0,0,,
2487-001,20,64,80000,20,80000,1250,1250
