y4_hhid,labour_total,labore,labour_wage,labour_total_pola,labour_wage_pola,hourly_wage,hourly_wage_new
3705-001,3,9.6000004,30000,3,30000,3124.9998,3124.9998
3717-001,0,0,0,0,0,,
3718-001,0,0,0,0,0,,
3719-001,0,0,0,0,0,,
3720-001,35,112,40000,35,40000,357.14285,357.14285
3721-001,0,0,0,0,0,,
3722-001,0,0,0,0,0,,
3723-001,0,0,0,0,0,,
3724-001,15,48,20000,15,20000,416.66666,416.66666
3737-001,0,0,0,0,0,,
3738-001,0,0,0,0,0,,
3739-001,0,0,0,0,0,,
3740-001,50,160,0,50,168070.08,1050.438,359
3741-001,6,19.200001,35000,6,35000,1822.9166,1822.9166
3742-001,0,0,0,0,0,,
3743-001,16,51.200001,440000,16,440000,8593.75,8593.75
3755-001,3,9.6000004,1500,3,1500,156.25,156.25
3758-001,15,48,70000,15,70000,1458.3334,1458.3334
3760-001,1,3.2,5000,1,5000,1562.5,1562.5
3762-001,0,0,0,0,0,,
3774-001,0,0,0,0,0,,
3775-001,22,70.400002,60000,22,60000,852.27271,852.27271
3776-001,18,57.599998,35000,18,35000,607.63892,607.63892
3777-001,36,115.2,0,36,122935.46,1067.1481,359
3778-001,0,0,0,0,0,,
3779-001,20,64,50000,20,50000,781.25,781.25
3780-001,6,19.200001,0,6,26218.43,1365.5432,359
3781-001,0,0,0,0,0,,
3794-001,0,0,0,0,0,,
3795-001,0,0,0,0,0,,
3796-001,0,0,0,0,0,,
3797-001,29,92.800003,125000,29,125000,1346.9827,1346.9827
3798-001,7,22.4,0,7,29442.33,1314.3898,359
3799-001,0,0,0,0,0,,
3800-001,36,115.2,0,36,122935.46,1067.1481,359
3812-001,0,0,0,0,0,,
3815-001,16,51.200001,415000,16,415000,8105.4688,8105.4688
3816-001,15,48,16000,15,16000,333.33334,333.33334
3817-001,1,3.2,60000,1,60000,18750,18750
3818-001,34,108.8,80000,34,80000,735.29407,735.29407
3819-001,0,0,0,0,0,,
3831-001,0,0,0,0,0,,
3832-001,0,0,0,0,0,,
3833-001,1,3.2,50000,1,50000,15625,15625
3834-001,1,3.2,10000,1,10000,3125,3125
3835-001,4,12.8,7000,4,7000,546.875,546.875
3836-001,0,0,0,0,0,,
3837-001,0,0,0,0,0,,
3838-001,20,64,165400,20,165400,2584.375,2584.375
3850-001,18,57.599998,90000,18,90000,1562.5,1562.5
3851-001,0,0,0,0,0,,
3852-001,305,976,1356000,305,1356000,1389.3442,1389.3442
3854-001,16,51.200001,0,16,58457.441,1141.7468,359
3855-001,0,0,0,0,0,,
3856-001,7,22.4,0,7,29442.33,1314.3898,359
3857-001,0,0,0,0,0,,
3859-001,0,0,0,0,0,,
3869-001,3,9.6000004,0,3,16546.727,1723.6173,359
3870-001,12,38.400002,56000,12,56000,1458.3333,1458.3333
3871-001,0,0,0,0,0,,
3872-001,0,0,0,0,0,,
3873-001,0,0,0,0,0,,
3874-001,8,25.6,40000,8,40000,1562.5,1562.5
3875-001,0,0,0,0,0,,
3876-001,0,0,0,0,0,,
3888-001,0,0,0,0,0,,
3889-001,142,454.39999,150000,142,150000,330.10565,330.10565
3890-001,0,0,0,0,0,,
3891-001,3,9.6000004,23000,3,23000,2395.8333,2395.8333
3892-001,0,0,0,0,0,,
3893-001,0,0,0,0,0,,
3894-001,8,25.6,56000,8,56000,2187.5,2187.5
3895-001,86,275.20001,235000,86,235000,853.92438,853.92438
3907-001,2,6.4000001,0,2,13322.826,2081.6917,359
3909-001,0,0,0,0,0,,
3911-001,0,0,0,0,0,,
3914-001,16,51.200001,60000,16,60000,1171.875,1171.875
3926-001,0,0,0,0,0,,
3931-001,52,166.39999,180000,52,180000,1081.7308,1081.7308
3932-001,0,0,0,0,0,,
3933-001,40,128,214000,40,214000,1671.875,1671.875
3945-001,0,0,0,0,0,,
3946-001,0,0,0,0,0,,
3947-001,0,0,0,0,0,,
3948-001,0,0,0,0,0,,
3949-001,0,0,0,0,0,,
3950-001,0,0,0,0,0,,
3951-001,0,0,0,0,0,,
3967-001,0,0,0,0,0,,
3970-001,54,172.8,335000,54,335000,1938.6573,1938.6573
3972-001,0,0,0,0,0,,
3983-001,0,0,0,0,0,,
3990-001,0,0,0,0,0,,
4002-001,0,0,0,0,0,,
4003-001,1,3.2,0,1,10098.925,3155.9141,359
4004-001,3,9.6000004,6000,3,6000,625,625
4005-001,6,19.200001,12000,6,12000,625,625
4006-001,2,6.4000001,0,2,13322.826,2081.6917,359
4007-001,49,156.8,87000,49,87000,554.84692,554.84692
4008-001,0,0,0,0,0,,
4012-001,15,48,3000,15,3000,62.5,62.5
4022-001,0,0,0,0,0,,
4023-001,0,0,0,0,0,,
4024-001,2,6.4000001,50000,2,50000,7812.5,7812.5
4025-001,36,115.2,75000,36,75000,651.04169,651.04169
4026-001,80,256,190000,80,190000,742.1875,742.1875
4027-001,2,6.4000001,0,2,13322.826,2081.6917,359
4028-001,42,134.39999,73000,42,73000,543.15479,543.15479
4032-001,80,256,0,80,264787.09,1034.3246,359
4040-001,6,19.200001,5000,6,5000,260.41666,260.41666
4041-001,6,19.200001,20000,6,20000,1041.6666,1041.6666
4042-001,0,0,0,0,0,,
4043-001,181,579.20001,845000,181,845000,1458.9088,1458.9088
4044-001,82,262.39999,10000,82,10000,38.109756,38.109756
4045-001,67,214.39999,72000,67,72000,335.82089,335.82089
4046-001,51,163.2,115700,51,115700,708.94611,708.94611
4047-001,0,0,0,0,0,,
4062-001,0,0,0,0,0,,
4064-001,0,0,0,0,0,,
4078-001,8,25.6,31000,8,31000,1210.9375,1210.9375
4079-001,0,0,0,0,0,,
4080-001,13,41.599998,50000,13,50000,1201.9231,1201.9231
4081-001,3,9.6000004,2800,3,2800,291.66666,291.66666
4082-001,17,54.400002,0,17,61681.34,1133.8481,359
4083-001,0,0,0,0,0,,
4084-001,70,224,126000,70,126000,562.5,562.5
4085-001,0,0,0,0,0,,
4097-001,0,0,0,0,0,,
4099-001,24,76.800003,90000,24,90000,1171.875,1171.875
4100-001,27,86.400002,81000,27,81000,937.5,937.5
4103-001,38,121.6,240000,38,240000,1973.6842,1973.6842
4104-001,0,0,0,0,0,,
4116-001,0,0,0,0,0,,
4117-001,0,0,0,0,0,,
4118-001,13,41.599998,42000,13,42000,1009.6154,1009.6154
4119-001,17,54.400002,135000,17,135000,2481.6177,2481.6177
4120-001,2,6.4000001,80000,2,80000,12500,12500
4121-001,10,32,45000,10,45000,1406.25,1406.25
4122-001,0,0,0,0,0,,
4123-001,0,0,0,0,0,,
4135-001,0,0,0,0,0,,
4136-001,0,0,0,0,0,,
4137-001,0,0,0,0,0,,
4138-001,14,44.799999,14000,14,14000,312.5,312.5
4139-001,0,0,0,0,0,,
4140-001,0,0,0,0,0,,
4141-001,0,0,0,0,0,,
4142-001,0,0,0,0,0,,
4154-001,124,396.79999,810000,124,810000,2041.3307,2041.3307
4155-001,30,96,120000,30,120000,1250,1250
4156-001,0,0,0,0,0,,
4157-001,4,12.8,50000,4,50000,3906.25,3906.25
4158-001,0,0,0,0,0,,
4159-001,9,28.799999,230000,9,230000,7986.1113,7986.1113
4160-001,72,230.39999,260000,72,260000,1128.4723,1128.4723
4161-001,0,0,0,0,0,,
4175-001,0,0,0,0,0,,
4176-001,0,0,150000,0,150000,,
4178-001,14,44.799999,30000,14,30000,669.64288,669.64288
4179-001,0,0,0,0,0,,
4192-001,0,0,0,0,0,,
4195-001,48,153.60001,110000,48,110000,716.14581,716.14581
4196-001,0,0,0,0,0,,
4197-001,0,0,0,0,0,,
4198-001,0,0,0,0,0,,
4199-001,18,57.599998,0,18,64905.242,1126.8271,359
4200-001,0,0,0,0,0,,
4211-001,0,0,0,0,0,,
4212-001,0,0,0,0,0,,
4213-001,40,128,200000,40,200000,1562.5,1562.5
4214-001,3,9.6000004,50000,3,50000,5208.333,5208.333
4215-001,22,70.400002,230000,22,230000,3267.0454,3267.0454
4216-001,110,352,500000,110,500000,1420.4546,1420.4546
4217-001,0,0,0,0,0,,
4218-001,0,0,0,0,0,,
4234-001,31,99.199997,71000,31,71000,715.72583,715.72583
4249-001,0,0,0,0,0,,
4250-001,0,0,0,0,0,,
4251-001,5,16,25000,5,25000,1562.5,1562.5
4252-001,100,320,370000,100,370000,1156.25,1156.25
4253-001,0,0,0,0,0,,
4254-001,101,323.20001,518000,101,518000,1602.7227,1602.7227
4255-001,30,96,54500,30,54500,567.70831,567.70831
4256-001,0,0,0,0,0,,
4268-001,0,0,0,0,0,,
4269-001,0,0,0,0,0,,
4270-001,71,227.2,125000,71,125000,550.17609,550.17609
4271-001,159,508.79999,698000,159,698000,1371.8553,1371.8553
4273-001,0,0,0,0,0,,
4274-001,0,0,0,0,0,,
4275-001,10,32,40000,10,40000,1250,1250
4287-001,134,428.79999,383000,134,383000,893.19031,893.19031
4288-001,9,28.799999,24000,9,24000,833.33337,833.33337
4289-001,0,0,0,0,0,,
4290-001,20,64,140000,20,140000,2187.5,2187.5
4292-001,8,25.6,11000,8,11000,429.6875,429.6875
4306-001,53,169.60001,17500,53,17500,103.18396,103.18396
4307-001,20,64,5500,20,5500,85.9375,85.9375
4308-001,0,0,0,0,0,,
4309-001,189,604.79999,1737000,189,1737000,2872.0239,2872.0239
4310-001,0,0,0,0,0,,
4311-001,0,0,0,0,0,,
4312-001,0,0,0,0,0,,
4313-001,44,140.8,145000,44,145000,1029.8295,1029.8295
4325-001,22,70.400002,150000,22,150000,2130.6819,2130.6819
4326-001,0,0,0,0,0,,
4328-001,120,384,1333000,120,1333000,3471.3542,3471.3542
4329-001,0,0,0,0,0,,
4330-001,0,0,0,0,0,,
4331-001,0,0,0,0,0,,
4332-001,81,259.20001,525000,81,525000,2025.4629,2025.4629
4346-001,0,0,0,0,0,,
4348-001,94,300.79999,265000,94,265000,880.98407,880.98407
4349-001,42,134.39999,280000,42,280000,2083.3335,2083.3335
4363-001,10,32,55000,10,55000,1718.75,1718.75
4364-001,0,0,0,0,0,,
4365-001,0,0,0,0,0,,
4366-001,0,0,0,0,0,,
4367-001,0,0,0,0,0,,
4368-001,0,0,0,0,0,,
4369-001,0,0,0,0,0,,
4370-001,0,0,0,0,0,,
4383-001,33,105.6,74450,33,74450,705.01892,705.01892
4384-001,6,19.200001,40000,6,40000,2083.3333,2083.3333
4385-001,44,140.8,123400,44,123400,876.42041,876.42041
4386-001,0,0,0,0,0,,
4387-001,101,323.20001,161300,101,161300,499.07178,499.07178
4388-001,31,99.199997,130000,31,130000,1310.4839,1310.4839
4390-001,13,41.599998,15000,13,15000,360.57693,360.57693
4403-001,0,0,0,0,0,,
4405-001,2,6.4000001,0,2,13322.826,2081.6917,359
4407-001,0,0,0,0,0,,
4420-001,0,0,0,0,0,,
4421-001,47,150.39999,60000,47,60000,398.93619,398.93619
4422-001,8,25.6,60000,8,60000,2343.75,2343.75
4423-001,20,64,46900,20,46900,732.8125,732.8125
4424-001,113,361.60001,315000,113,315000,871.1283,871.1283
4425-001,97,310.39999,680000,97,680000,2190.7217,2190.7217
4426-001,10,32,0,10,39114.035,1222.3136,359
4427-001,2,6.4000001,0,2,13322.826,2081.6917,359
4439-001,2,6.4000001,0,2,13322.826,2081.6917,359
4440-001,0,0,0,0,0,,
4441-001,83,265.60001,139000,83,139000,523.34338,523.34338
4442-001,0,0,0,0,0,,
4443-001,19,60.799999,31000,19,31000,509.86844,509.86844
4444-001,0,0,10000,0,10000,,
4445-001,15,48,41100,15,41100,856.25,856.25
4446-001,0,0,0,0,0,,
4461-001,0,0,0,0,0,,
4462-001,14,44.799999,56000,14,56000,1250,1250
4463-001,0,0,0,0,0,,
4464-001,23,73.599998,0,23,81024.75,1100.8798,359
4465-001,29,92.800003,45000,29,45000,484.91379,484.91379
4467-001,13,41.599998,30000,13,30000,721.15387,721.15387
4477-001,40,128,41000,40,41000,320.3125,320.3125
4478-001,8,25.6,10000,8,10000,390.625,390.625
4479-001,0,0,0,0,0,,
4480-001,11,35.200001,0,11,42337.934,1202.7822,359
4482-001,0,0,0,0,0,,
4483-001,5,16,12000,5,12000,750,750
4484-001,108,345.60001,158000,108,158000,457.1759,457.1759
4496-001,61,195.2,112000,61,112000,573.77051,573.77051
4497-001,126,403.20001,162000,126,162000,401.78571,401.78571
4498-001,8,25.6,10000,8,10000,390.625,390.625
4499-001,333,1065.6,1652000,333,1652000,1550.3003,1550.3003
4500-001,0,0,0,0,0,,
4501-001,0,0,0,0,0,,
4502-001,16,51.200001,35000,16,35000,683.59375,683.59375
4503-001,250,800,600000,250,600000,750,750
4515-001,9,28.799999,10000,9,10000,347.22223,347.22223
4516-001,10,32,10000,10,10000,312.5,312.5
4517-001,29,92.800003,97000,29,97000,1045.2585,1045.2585
4518-001,18,57.599998,68000,18,68000,1180.5555,1180.5555
4519-001,46,147.2,0,46,155174.47,1054.1744,359
4520-001,18,57.599998,80000,18,80000,1388.8889,1388.8889
4521-001,0,0,0,0,0,,
4522-001,23,73.599998,26000,23,26000,353.26086,353.26086
4534-001,41,131.2,0,41,139054.97,1059.8702,359
4535-001,0,0,0,0,0,,
4537-001,27,86.400002,0,27,93920.352,1087.0411,359
4538-001,4,12.8,0,4,19770.629,1544.5803,359
4539-001,0,0,0,0,0,,
4540-001,138,441.60001,0,138,451773.38,1023.0375,359
4541-001,10,32,18000,10,18000,562.5,562.5
4543-001,36,115.2,60000,36,60000,520.83337,520.83337
4557-001,29,92.800003,64000,29,64000,689.65515,689.65515
4560-001,0,0,0,0,0,,
4572-001,5,16,15000,5,15000,937.5,937.5
4573-001,14,44.799999,6000,14,6000,133.92857,133.92857
4574-001,48,153.60001,28000,48,28000,182.29166,182.29166
4575-001,53,169.60001,40000,53,40000,235.84904,235.84904
4576-001,0,0,0,0,0,,
4577-001,11,35.200001,38000,11,38000,1079.5454,1079.5454
4578-001,0,0,0,0,0,,
4579-001,33,105.6,32000,33,32000,303.0303,303.0303
4591-001,85,272,149000,85,149000,547.79413,547.79413
4592-001,0,0,0,0,0,,
4593-001,48,153.60001,0,48,161622.27,1052.2283,359
4594-001,112,358.39999,425000,112,425000,1185.8259,1185.8259
4595-001,105,336,120000,105,120000,357.14285,357.14285
4596-001,80,256,132000,80,132000,515.625,515.625
4597-001,64,204.8,45000,64,45000,219.72656,219.72656
4598-001,53,169.60001,250000,53,250000,1474.0565,1474.0565
4610-001,105,336,0,105,345384.63,1027.9304,359
4611-001,17,54.400002,17000,17,17000,312.5,312.5
4612-001,12,38.400002,160000,12,160000,4166.6665,4166.6665
4613-001,25,80,6000,25,6000,75,75
4614-001,7,22.4,16000,7,16000,714.28571,714.28571
4615-001,51,163.2,65000,51,65000,398.28433,398.28433
4616-001,0,0,0,0,0,,
4618-001,43,137.60001,205000,43,205000,1489.8256,1489.8256
4629-001,14,44.799999,9500,14,9500,212.05357,212.05357
4630-001,10,32,20000,10,20000,625,625
4631-001,10,32,0,10,39114.035,1222.3136,359
4633-001,6,19.200001,0,6,26218.43,1365.5432,359
4634-001,82,262.39999,108500,82,108500,413.49088,413.49088
4635-001,16,51.200001,0,16,58457.441,1141.7468,359
4636-001,14,44.799999,0,14,52009.637,1160.9294,359
4640-001,0,0,0,0,0,,
4648-001,4,12.8,25000,4,25000,1953.125,1953.125
4649-001,4,12.8,30000,4,30000,2343.75,2343.75
4650-001,2,6.4000001,25000,2,25000,3906.25,3906.25
4651-001,0,0,0,0,0,,
4652-001,21,67.199997,35000,21,35000,520.83337,520.83337
4653-001,16,51.200001,23000,16,23000,449.21875,449.21875
4654-001,0,0,0,0,0,,
4655-001,12,38.400002,25000,12,25000,651.04163,651.04163
4667-001,9,28.799999,35,9,35,1.2152778,1.2152778
4668-001,2,6.4000001,36000,2,36000,5625,5625
4669-001,0,0,0,0,0,,
4670-001,7,22.4,40000,7,40000,1785.7144,1785.7144
4671-001,5,16,20000,5,20000,1250,1250
4672-001,38,121.6,191000,38,191000,1570.7238,1570.7238
4673-001,20,64,163000,20,163000,2546.875,2546.875
4674-001,14,44.799999,70000,14,70000,1562.5,1562.5
4686-001,23,73.599998,85000,23,85000,1154.8914,1154.8914
4687-001,3,9.6000004,20000,3,20000,2083.3333,2083.3333
4690-001,0,0,0,0,0,,
4693-001,0,0,0,0,0,,
4705-001,32,102.4,0,32,110039.86,1074.608,359
4706-001,36,115.2,220000,36,220000,1909.7223,1909.7223
4707-001,28,89.599998,48000,28,48000,535.71429,535.71429
4708-001,6,19.200001,240000,6,240000,12499.999,12499.999
4709-001,0,0,0,0,0,,
4710-001,18,57.599998,110000,18,110000,1909.7223,1909.7223
4711-001,0,0,0,0,0,,
4712-001,15,48,0,15,55233.539,1150.6987,359
4725-001,20,64,105000,20,105000,1640.625,1640.625
4726-001,13,41.599998,50000,13,50000,1201.9231,1201.9231
4727-001,0,0,0,0,0,,
4728-001,0,0,0,0,0,,
4729-001,0,0,0,0,0,,
4730-001,0,0,0,0,0,,
4731-001,3,9.6000004,22000,3,22000,2291.6665,2291.6665
4743-001,0,0,0,0,0,,
4744-001,0,0,0,0,0,,
4745-001,21,67.199997,16000,21,16000,238.09525,238.09525
4746-001,0,0,0,0,0,,
4747-001,0,0,0,0,0,,
4748-001,9,28.799999,44000,9,44000,1527.7778,1527.7778
4749-001,24,76.800003,17400,24,17400,226.56248,226.56248
4750-001,0,0,0,0,0,,
4762-001,43,137.60001,150000,43,150000,1090.1162,1090.1162
4763-001,0,0,0,0,0,,
4764-001,18,57.599998,110000,18,110000,1909.7223,1909.7223
4765-001,20,64,80000,20,80000,1250,1250
4766-001,36,115.2,0,36,122935.46,1067.1481,359
4767-001,6,19.200001,50000,6,50000,2604.1665,2604.1665
4768-001,33,105.6,106000,33,106000,1003.7879,1003.7879
4769-001,0,0,0,0,0,,
4781-001,20,64,50000,20,50000,781.25,781.25
4782-001,20,64,12000,20,12000,187.5,187.5
4783-001,0,0,0,0,0,,
4785-001,2,6.4000001,5000,2,5000,781.25,781.25
4786-001,7,22.4,19000,7,19000,848.21429,848.21429
4787-001,55,176,84000,55,84000,477.27274,477.27274
4788-001,0,0,0,0,0,,
4789-001,29,92.800003,73000,29,73000,786.63788,786.63788
4800-001,0,0,0,0,0,,
4801-001,0,0,0,0,0,,
4802-001,0,0,0,0,0,,
4803-001,0,0,0,0,0,,
4804-001,55,176,393000,55,393000,2232.9546,2232.9546
4805-001,71,227.2,158000,71,158000,695.42255,695.42255
4806-001,26,83.199997,37000,26,37000,444.71155,444.71155
4807-001,0,0,0,0,0,,
4820-001,0,0,0,0,0,,
4821-001,0,0,0,0,0,,
4822-001,0,0,0,0,0,,
4823-001,0,0,0,0,0,,
4824-001,3,9.6000004,10000,3,10000,1041.6666,1041.6666
4825-001,2,6.4000001,20000,2,20000,3125,3125
4826-001,44,140.8,260000,44,260000,1846.5908,1846.5908
4829-001,19,60.799999,30000,19,30000,493.42105,493.42105
4838-001,0,0,0,0,0,,
4839-001,0,0,0,0,0,,
4840-001,17,54.400002,33000,17,33000,606.61761,606.61761
4841-001,0,0,0,0,0,,
4842-001,27,86.400002,180000,27,180000,2083.3333,2083.3333
4843-001,12,38.400002,0,12,45561.836,1186.5061,359
4844-001,0,0,0,0,0,,
4845-001,30,96,270000,30,270000,2812.5,2812.5
4857-001,0,0,0,0,0,,
4858-001,9,28.799999,27000,9,27000,937.5,937.5
4859-001,9,28.799999,33000,9,33000,1145.8334,1145.8334
4860-001,8,25.6,3000,8,3000,117.1875,117.1875
4861-001,7,22.4,97000,7,97000,4330.3574,4330.3574
4862-001,0,0,0,0,0,,
4863-001,0,0,0,0,0,,
4864-001,8,25.6,64000,8,64000,2500,2500
4876-001,7,22.4,78000,7,78000,3482.1428,3482.1428
4877-001,0,0,0,0,0,,
4878-001,30,96,195000,30,195000,2031.25,2031.25
4879-001,0,0,0,0,0,,
4880-001,0,0,0,0,0,,
4881-001,0,0,0,0,0,,
4882-001,10,32,40000,10,40000,1250,1250
4883-001,6,19.200001,15000,6,15000,781.24994,781.24994
4895-001,18,57.599998,16000,18,16000,277.77777,277.77777
4896-001,0,0,0,0,0,,
4897-001,0,0,0,0,0,,
4898-001,4,12.8,10000,4,10000,781.25,781.25
4899-001,8,25.6,41000,8,41000,1601.5625,1601.5625
4900-001,1,3.2,0,1,10098.925,3155.9141,359
4901-001,0,0,0,0,0,,
4902-001,19,60.799999,95000,19,95000,1562.5,1562.5
4914-001,0,0,0,0,0,,
4915-001,0,0,0,0,0,,
4916-001,0,0,0,0,0,,
4917-001,0,0,0,0,0,,
4918-001,0,0,0,0,0,,
4919-001,0,0,0,0,0,,
4920-001,0,0,0,0,0,,
4921-001,0,0,0,0,0,,
4934-001,5,16,0,5,22994.529,1437.1581,359
4935-001,26,83.199997,90000,26,90000,1081.7308,1081.7308
4936-001,0,0,0,0,0,,
4937-001,87,278.39999,124000,87,124000,445.40231,445.40231
4938-001,0,0,0,0,0,,
4939-001,0,0,0,0,0,,
4940-001,0,0,0,0,0,,
4954-001,80,256,275000,80,275000,1074.2188,1074.2188
4955-001,60,192,0,60,200309.08,1043.2765,359
4971-001,0,0,0,0,0,,
4972-001,13,41.599998,88000,13,88000,2115.3848,2115.3848
4973-001,24,76.800003,69000,24,69000,898.43744,898.43744
4974-001,0,0,0,0,0,,
4975-001,0,0,0,0,0,,
4976-001,64,204.8,148000,64,148000,722.65625,722.65625
4978-001,9,28.799999,0,9,35890.133,1246.1852,359
4990-001,13,41.599998,30000,13,30000,721.15387,721.15387
4991-001,91,291.20001,510000,91,510000,1751.3735,1751.3735
4992-001,1,3.2,0,1,10098.925,3155.9141,359
4993-001,14,44.799999,0,14,52009.637,1160.9294,359
4994-001,0,0,0,0,0,,
4995-001,0,0,0,0,0,,
4996-001,0,0,0,0,0,,
4997-001,80,256,0,80,264787.09,1034.3246,359
5009-001,1,3.2,27000,1,27000,8437.5,8437.5
5012-001,13,41.599998,0,13,48785.738,1172.7341,359
5013-001,0,0,0,0,0,,
5014-001,0,0,0,0,0,,
5015-001,0,0,0,0,0,,
5016-001,0,0,0,0,0,,
5030-001,0,0,0,0,0,,
5031-001,26,83.199997,130000,26,130000,1562.5,1562.5
5032-001,27,86.400002,45000,27,45000,520.83331,520.83331
5033-001,21,67.199997,210000,21,210000,3125.0002,3125.0002
5034-001,0,0,0,0,0,,
5066-001,0,0,0,0,0,,
5067-001,4,12.8,9000,4,9000,703.125,703.125
5068-001,23,73.599998,90000,23,90000,1222.8262,1222.8262
5070-001,30,96,50000,30,50000,520.83331,520.83331
5071-001,262,838.40002,1666000,262,1666000,1987.1183,1987.1183
5072-001,267,854.40002,140000,267,140000,163.85767,163.85767
5073-001,12,38.400002,117000,12,117000,3046.875,3046.875
5085-001,0,0,0,0,0,,
5086-001,2,6.4000001,0,2,13322.826,2081.6917,359
5087-001,2,6.4000001,0,2,13322.826,2081.6917,359
5088-001,6,19.200001,15000,6,15000,781.24994,781.24994
5089-001,11,35.200001,0,11,42337.934,1202.7822,359
5090-001,0,0,0,0,0,,
5091-001,6,19.200001,34000,6,34000,1770.8333,1770.8333
5092-001,0,0,0,0,0,,
5127-001,50,160,200000,50,200000,1250,1250
5131-001,0,0,0,0,0,,
5184-001,45,144,500000,45,500000,3472.2222,3472.2222
5241-001,0,0,0,0,0,,
5245-001,19,60.799999,300000,19,300000,4934.2104,4934.2104
5279-001,0,0,0,0,0,,
5318-001,0,0,0,0,0,,
5340-001,0,0,0,0,0,,
5468-001,0,0,0,0,0,,
5473-001,0,0,0,0,0,,
5490-001,65,208,380000,65,380000,1826.9231,1826.9231
5529-001,0,0,0,0,0,,
5541-001,0,0,0,0,0,,
5543-001,20,64,50000,20,50000,781.25,781.25
5547-001,14,44.799999,36400,14,36400,812.5,812.5
5608-001,68,217.60001,665000,68,665000,3056.0662,3056.0662
5628-001,0,0,0,0,0,,
5693-001,0,0,0,0,0,,
5695-001,100,320,750000,100,750000,2343.75,2343.75
5696-001,21,67.199997,150000,21,150000,2232.1431,2232.1431
5697-001,8,25.6,30000,8,30000,1171.875,1171.875
5698-001,0,0,0,0,0,,
5699-001,8,25.6,30000,8,30000,1171.875,1171.875
5700-001,0,0,0,0,0,,
5719-001,0,0,0,0,0,,
5739-001,28,89.599998,275000,28,275000,3069.1965,3069.1965
5751-001,0,0,0,0,0,,
5769-001,14,44.799999,170000,14,170000,3794.6428,3794.6428
5770-001,0,0,0,0,0,,
5771-001,3,9.6000004,100000,3,100000,10416.666,10416.666
5772-001,0,0,0,0,0,,
5773-001,1,3.2,5000,1,5000,1562.5,1562.5
5774-001,2,6.4000001,5000,2,5000,781.25,781.25
5775-001,0,0,0,0,0,,
5776-001,0,0,0,0,0,,
5788-001,4,12.8,5000,4,5000,390.625,390.625
5789-001,6,19.200001,9000,6,9000,468.74997,468.74997
5790-001,16,51.200001,80000,16,80000,1562.5,1562.5
5791-001,26,83.199997,135000,26,135000,1622.5962,1622.5962
5792-001,2,6.4000001,2500,2,2500,390.625,390.625
5793-001,6,19.200001,0,6,26218.43,1365.5432,359
5794-001,0,0,0,0,0,,
5795-001,13,41.599998,98000,13,98000,2355.7693,2355.7693
5809-001,0,0,0,0,0,,
5813-001,0,0,0,0,0,,
5826-001,41,131.2,124000,41,124000,945.12195,945.12195
5827-001,0,0,0,0,0,,
5828-001,0,0,0,0,0,,
5829-001,4,12.8,50000,4,50000,3906.25,3906.25
5830-001,16,51.200001,70000,16,70000,1367.1875,1367.1875
5832-001,0,0,0,0,0,,
5833-001,0,0,0,0,0,,
5845-001,0,0,0,0,0,,
5846-001,44,140.8,160000,44,160000,1136.3636,1136.3636
5847-001,4,12.8,0,4,19770.629,1544.5803,359
5848-001,39,124.8,51000,39,51000,408.65384,408.65384
5849-001,0,0,0,0,0,,
5850-001,26,83.199997,0,26,90696.453,1090.1017,359
5851-001,11,35.200001,20000,11,20000,568.18182,568.18182
5852-001,0,0,0,0,0,,
5864-001,33,105.6,59000,33,59000,558.71216,558.71216
5865-001,12,38.400002,18000,12,18000,468.74997,468.74997
5866-001,53,169.60001,78000,53,78000,459.90564,459.90564
5868-001,0,0,0,0,0,,
5869-001,75,240,24000,75,24000,100,100
5870-001,0,0,0,0,0,,
5871-001,7,22.4,25000,7,25000,1116.0714,1116.0714
5872-001,0,0,0,0,0,,
5883-001,0,0,0,0,0,,
5884-001,55,176,108000,55,108000,613.63635,613.63635
5885-001,0,0,0,0,0,,
5886-001,6,19.200001,45000,6,45000,2343.75,2343.75
5887-001,51,163.2,50000,51,50000,306.37256,306.37256
5890-001,0,0,0,0,0,,
5891-001,0,0,0,0,0,,
5892-001,0,0,0,0,0,,
5902-001,0,0,0,0,0,,
5903-001,312,998.40002,860000,312,860000,861.37817,861.37817
5904-001,0,0,0,0,0,,
5906-001,7,22.4,16000,7,16000,714.28571,714.28571
5907-001,0,0,0,0,0,,
5908-001,15,48,30000,15,30000,625,625
5909-001,77,246.39999,162000,77,162000,657.46753,657.46753
5911-001,0,0,0,0,0,,
5921-001,0,0,0,0,0,,
5924-001,17,54.400002,210000,17,210000,3860.2939,3860.2939
5927-001,0,0,0,0,0,,
5940-001,35,112,320000,35,320000,2857.1428,2857.1428
5941-001,0,0,0,0,0,,
5942-001,0,0,0,0,0,,
5943-001,3,9.6000004,0,3,16546.727,1723.6173,359
5945-001,0,0,0,0,0,,
5946-001,0,0,0,0,0,,
5947-001,17,54.400002,116000,17,116000,2132.3528,2132.3528
5949-001,2,6.4000001,30000,2,30000,4687.5,4687.5
5960-001,0,0,0,0,0,,
5961-001,34,108.8,110000,34,110000,1011.0294,1011.0294
5962-001,26,83.199997,74000,26,74000,889.4231,889.4231
5963-001,0,0,0,0,0,,
5964-001,14,44.799999,50000,14,50000,1116.0714,1116.0714
5966-001,0,0,0,0,0,,
5978-001,0,0,0,0,0,,
