y4_hhid,male_hours,male_days,female_hours,female_days,children_hours,children_days,kids_hours,kids_days,teenagers_hours,teenagers_days
1419-001,,,,,,,,,,
1420-001,,,,,,,,,,
1421-001,,,24.0,21.0,,,,,,
1423-001,,,,,,,,,,
1424-001,,,,,,,,,,
1425-001,,,,,,,,,,
1426-001,266.0,54.0,10.0,2.0,,,,,,
1429-001,,,,,,,,,,
1437-001,,,,,,,,,,
1438-001,,,,,,,,,,
1439-001,,,,,,,,,,
1440-001,,,,,,,,,,
1441-001,,,,,,,,,,
1442-001,,,,,,,,,,
1443-001,,,,,,,,,,
1444-001,,,,,,,,,,
1456-001,,,,,,,,,,
1457-001,,,,,,,,,,
1458-001,,,80.0,20.0,,,,,,
1459-001,,,,,,,,,,
1460-001,,,,,,,,,,
1461-001,,,,,,,,,,
1462-001,4.0,4.0,11.0,7.0,,,,,,
1463-001,,,,,,,,,,
1476-001,,,,,,,,,,
1477-001,,,,,,,,,,
1478-001,,,,,,,,,,
1479-001,,,,,,,,,,
1480-001,,,,,,,,,,
1481-001,,,,,,,,,,
1483-001,,,,,,,,,,
1486-001,,,,,,,,,,
1494-001,,,,,,,,,,
1495-001,,,,,,,,,,
1496-001,,,,,,,,,,
1497-001,,,,,,,,,,
1498-001,,,,,,,,,,
1499-001,,,,,,,,,,
1500-001,,,,,,,,,,
1501-001,,,,,,,,,,
1513-001,,,,,,,,,,
1514-001,,,,,,,,,,
1515-001,,,,,,,,,,
1516-001,125.0,25.0,405.0,70.0,,,,,,
1517-001,,,,,,,,,,
1518-001,,,,,,,,,,
1519-001,,,,,,,,,,
1520-001,,,,,,,,,,
1532-001,,,,,,,,,,
1533-001,,,,,,,,,,
1534-001,,,,,,,,,,
1536-001,,,,,,,,,,
1537-001,,,,,,,,,,
1538-001,,,,,,,,,,
1539-001,,,,,,,,,,
1541-001,,,15.0,15.0,,,,,,
1551-001,,,82.0,65.0,,,,,,
1552-001,9.0,7.0,9.0,7.0,,,,,,
1553-001,,,,,,,,,,
1554-001,,,,,,,,,,
1555-001,,,,,,,,,,
1556-001,3.0,3.0,7.0,7.0,,,,,,
1557-001,66.0,22.0,,,33.0,11.0,,,33.0,11.0
1559-001,122.0,30.0,104.0,27.0,,,,,,
1570-001,,,,,,,,,,
1571-001,,,12.0,10.0,,,,,,
1572-001,4.0,3.0,3.0,2.0,,,,,,
1573-001,,,84.0,84.0,,,,,,
1574-001,,,,,,,,,,
1575-001,,,,,,,,,,
1576-001,,,,,,,,,,
1578-001,,,,,,,,,,
1589-001,,,,,,,,,,
1590-001,,,,,,,,,,
1591-001,,,,,,,,,,
1592-001,,,,,,,,,,
1593-001,,,,,,,,,,
1594-001,,,,,,,,,,
1595-001,,,,,,,,,,
1596-001,8.0,8.0,7.0,7.0,,,,,,
1608-001,,,,,,,,,,
1609-001,,,,,,,,,,
1610-001,,,,,,,,,,
1611-001,,,,,,,,,,
1612-001,,,,,,,,,,
1613-001,,,,,,,,,,
1614-001,,,,,,,,,,
1615-001,,,,,,,,,,
1627-001,,,,,,,,,,
1628-001,,,,,,,,,,
1629-001,,,,,,,,,,
1632-001,,,,,,,,,,
1633-001,,,,,,,,,,
1635-001,18.0,4.0,20.0,5.0,,,,,,
1636-001,,,673.0,112.0,,,,,,
1638-001,,,,,,,,,,
1646-001,,,,,,,,,,
1647-001,,,,,,,,,,
1648-001,,,,,,,,,,
1649-001,,,,,,,,,,
1650-001,,,,,,,,,,
1651-001,,,,,,,,,,
1652-001,,,,,,,,,,
1654-001,,,,,,,,,,
1665-001,671.0,114.0,,,,,,,,
1666-001,,,,,,,,,,
1667-001,,,,,,,,,,
1668-001,,,,,,,,,,
1669-001,,,,,,,,,,
1671-001,,,,,,,,,,
1673-001,,,,,,,,,,
1676-001,,,,,,,,,,
1684-001,,,,,,,,,,
1685-001,,,,,,,,,,
1687-001,,,,,,,,,,
1688-001,,,,,,,,,,
1690-001,,,,,,,,,,
1691-001,,,,,,,,,,
1693-001,,,,,,,,,,
1694-001,,,,,,,,,,
1703-001,,,,,,,,,,
1704-001,,,,,,,,,,
1705-001,,,,,,,,,,
1706-001,,,,,,,,,,
1707-001,,,,,,,,,,
1708-001,,,,,,,,,,
1709-001,,,,,,,,,,
1710-001,6.0,2.0,,,,,,,,
1723-001,,,,,,,,,,
1724-001,,,,,,,,,,
1725-001,,,,,,,,,,
1726-001,,,,,,,,,,
1728-001,,,,,,,,,,
1729-001,,,,,,,,,,
1732-001,,,,,,,,,,
1733-001,,,,,,,,,,
1741-001,,,,,,,,,,
1743-001,,,,,,,,,,
1744-001,,,163.0,39.0,,,,,,
1745-001,,,,,,,,,,
1746-001,162.0,18.0,,,,,,,,
1747-001,,,,,,,,,,
1748-001,,,,,,,,,,
1749-001,,,,,,,,,,
1761-001,,,,,,,,,,
1762-001,,,,,,,,,,
1763-001,,,,,,,,,,
1764-001,,,11.0,4.0,,,,,,
1765-001,56.0,7.0,324.0,29.0,,,,,,
1766-001,,,305.0,61.0,,,,,,
1768-001,,,802.0,136.0,,,,,,
1771-001,,,,,,,,,,
1779-001,,,441.0,77.0,207.0,35.0,207.0,35.0,,
1780-001,560.0,102.0,560.0,102.0,,,,,,
