y4_hhid,male_hours,male_days,female_hours,female_days,children_hours,children_days,kids_hours,kids_days,teenagers_hours,teenagers_days
2485-001,48.0,8.0,,,,,,,,
2486-001,420.0,94.0,394.0,88.0,,,,,,
2487-001,301.0,55.0,301.0,55.0,14.0,3.0,14.0,3.0,,
2488-001,772.0,104.0,1544.0,208.0,852.0,114.0,852.0,114.0,,
2489-001,858.0,114.0,335.0,45.0,77.0,11.0,77.0,11.0,,
2501-001,606.0,203.0,356.0,147.0,,,,,,
2502-001,,,538.0,165.0,,,,,,
2503-001,368.0,96.0,586.0,157.0,,,,,,
2504-001,972.0,162.0,497.0,92.0,90.0,15.0,90.0,15.0,,
2505-001,2623.0,256.0,2287.0,228.0,,,,,,
2506-001,,,,,,,,,,
2507-001,302.0,83.0,313.0,93.0,,,,,,
2508-001,26.0,12.0,35.0,19.0,,,,,,
2520-001,192.0,24.0,192.0,24.0,192.0,24.0,,,192.0,24.0
2521-001,,,74.0,32.0,2.0,1.0,2.0,1.0,,
2522-001,1164.0,144.0,1164.0,144.0,190.0,26.0,190.0,26.0,,
2523-001,132.0,48.0,108.0,38.0,,,,,,
2524-001,630.0,118.0,1556.0,288.0,688.0,126.0,356.0,66.0,332.0,60.0
2525-001,,,,,,,,,,
2526-001,,,264.0,46.0,209.0,40.0,209.0,40.0,,
2527-001,26.0,11.0,124.0,64.0,33.0,16.0,,,33.0,16.0
2539-001,,,,,,,,,,
2540-001,,,,,,,,,,
2541-001,,,,,,,,,,
2542-001,,,,,,,,,,
2543-001,,,,,,,,,,
2544-001,,,,,,,,,,
2545-001,,,,,,,,,,
2546-001,,,,,,,,,,
2558-001,308.0,84.0,291.0,79.0,136.0,37.0,136.0,37.0,,
2559-001,160.0,40.0,168.0,42.0,72.0,18.0,72.0,18.0,,
2560-001,210.0,28.0,210.0,28.0,,,,,,
2561-001,,,,,,,,,,
2562-001,,,,,,,,,,
2563-001,,,,,,,,,,
2564-001,,,602.0,89.0,160.0,27.0,160.0,27.0,,
2566-001,1080.0,206.0,928.0,152.0,0.0,0.0,0.0,0.0,,
2577-001,506.0,72.0,493.0,70.0,,,,,,
2578-001,185.0,64.0,581.0,225.0,126.0,44.0,,,126.0,44.0
2579-001,562.0,128.0,706.0,192.0,438.0,146.0,171.0,66.0,267.0,80.0
2580-001,354.0,98.0,357.0,102.0,216.0,74.0,108.0,37.0,108.0,37.0
2581-001,,,360.0,135.0,,,,,,
2582-001,528.0,56.0,276.0,35.0,354.0,46.0,78.0,11.0,276.0,35.0
2583-001,222.0,70.0,205.0,70.0,,,,,,
2584-001,871.0,101.0,879.0,109.0,32.0,6.0,32.0,6.0,,
2596-001,,,,,2142.0,371.0,1411.0,243.0,731.0,128.0
2597-001,152.0,33.0,146.0,32.0,,,,,,
2598-001,,,477.0,110.0,477.0,110.0,,,477.0,110.0
2599-001,428.0,106.0,,,,,,,,
2600-001,191.0,27.0,191.0,27.0,189.0,26.0,,,189.0,26.0
2601-001,373.0,46.0,746.0,92.0,310.0,39.0,310.0,39.0,,
2602-001,,,,,,,,,,
2603-001,,,732.0,151.0,398.0,81.0,60.0,10.0,338.0,71.0
2615-001,54.0,10.0,54.0,10.0,,,,,,
2616-001,110.0,22.0,55.0,11.0,,,,,,
2617-001,,,,,,,,,,
2618-001,,,112.0,22.0,,,,,,
2619-001,107.0,21.0,107.0,21.0,,,,,,
2620-001,270.0,36.0,172.0,27.0,128.0,16.0,128.0,16.0,,
2621-001,,,,,,,,,,
2622-001,38.0,16.0,34.0,14.0,,,,,,
2634-001,259.0,117.0,247.0,112.0,32.0,13.0,32.0,13.0,,
2635-001,133.0,41.0,38.0,13.0,,,,,,
2636-001,116.0,30.0,132.0,34.0,,,,,,
2637-001,236.0,89.0,639.0,232.0,,,,,,
2638-001,,,97.0,31.0,29.0,8.0,29.0,8.0,,
2639-001,582.0,116.0,463.0,92.0,135.0,28.0,53.0,11.0,82.0,17.0
2640-001,1404.0,234.0,1404.0,234.0,306.0,51.0,306.0,51.0,,
2641-001,,,256.0,8.0,,,,,,
2653-001,,,,,,,,,,
2654-001,70.0,11.0,56.0,8.0,,,,,,
2655-001,,,,,,,,,,
2656-001,,,174.0,37.0,28.0,5.0,28.0,5.0,,
2657-001,172.0,18.0,177.0,23.0,173.0,17.0,22.0,2.0,151.0,15.0
2658-001,226.0,45.0,234.0,47.0,,,,,,
2659-001,200.0,25.0,288.0,36.0,312.0,39.0,112.0,14.0,200.0,25.0
2660-001,,,,,,,,,,
2672-001,199.0,53.0,141.0,40.0,,,,,,
2673-001,8.0,3.0,108.0,30.0,32.0,9.0,,,32.0,9.0
2674-001,,,26.0,22.0,,,,,,
2675-001,67.0,24.0,,,,,,,,
2676-001,94.0,39.0,144.0,52.0,,,,,,
2677-001,,,476.0,119.0,,,,,,
2678-001,,,244.0,85.0,,,,,,
2679-001,44.0,11.0,116.0,25.0,104.0,22.0,,,104.0,22.0
2691-001,156.0,26.0,558.0,93.0,162.0,27.0,,,162.0,27.0
2692-001,39.0,8.0,40.0,9.0,39.0,18.0,26.0,12.0,13.0,6.0
2693-001,,,48.0,13.0,,,,,,
2694-001,,,14.0,7.0,,,,,,
2695-001,110.0,27.0,110.0,27.0,48.0,11.0,48.0,11.0,,
2696-001,150.0,42.0,145.0,42.0,,,,,,
2697-001,,,,,,,,,,
2698-001,,,,,,,,,,
2710-001,,,,,,,,,,
2711-001,184.0,47.0,184.0,47.0,112.0,30.0,56.0,15.0,56.0,15.0
2712-001,,,,,,,,,,
2713-001,378.0,54.0,378.0,54.0,756.0,108.0,756.0,108.0,,
2714-001,678.0,107.0,80.0,11.0,,,,,,
2715-001,320.0,32.0,18.0,5.0,,,,,,
2716-001,861.0,178.0,873.0,179.0,,,,,,
2717-001,402.0,59.0,402.0,59.0,,,,,,
2729-001,,,,,,,,,,
2730-001,,,,,,,,,,
2731-001,,,,,,,,,,
2732-001,,,,,,,,,,
2733-001,,,,,,,,,,
2734-001,,,,,,,,,,
2735-001,,,294.0,49.0,,,,,,
2736-001,184.0,23.0,96.0,12.0,,,,,,
2748-001,,,20.0,10.0,,,,,,
2749-001,,,,,,,,,,
2750-001,193.0,82.0,16.0,11.0,,,,,,
2751-001,,,,,,,,,,
2752-001,69.0,41.0,,,,,,,,
2753-001,,,,,,,,,,
2754-001,16.0,4.0,240.0,59.0,,,,,,
2755-001,,,162.0,78.0,,,,,,
2767-001,107.0,85.0,,,,,,,,
2768-001,,,,,,,,,,
2769-001,,,,,,,,,,
2770-001,36.0,20.0,,,,,,,,
2771-001,,,,,,,,,,
2772-001,,,,,,,,,,
2773-001,,,,,,,,,,
2774-001,,,,,,,,,,
2786-001,255.0,74.0,268.0,87.0,,,,,,
2787-001,111.0,41.0,,,,,,,,
2788-001,,,,,,,,,,
2789-001,,,,,,,,,,
2790-001,,,153.0,51.0,,,,,,
2791-001,274.0,69.0,75.0,17.0,,,,,,
2792-001,101.0,27.0,207.0,58.0,,,,,,
2793-001,83.0,23.0,,,,,,,,
2805-001,150.0,41.0,,,,,,,,
2806-001,148.0,44.0,,,,,,,,
2807-001,664.0,166.0,348.0,87.0,,,,,,
2808-001,660.0,165.0,688.0,172.0,,,,,,
2809-001,,,,,,,,,,
2810-001,341.0,125.0,,,,,,,,
2811-001,289.0,122.0,,,,,,,,
2812-001,222.0,62.0,,,,,,,,
2824-001,,,,,,,,,,
2825-001,,,,,,,,,,
2826-001,,,,,,,,,,
2827-001,,,,,,,,,,
2828-001,,,,,,,,,,
2829-001,6.0,3.0,,,,,,,,
2833-001,,,,,,,,,,
2834-001,43.0,43.0,,,,,,,,
2843-001,460.0,59.0,266.0,34.0,,,,,,
2844-001,900.0,113.0,826.0,103.0,,,,,,
2845-001,,,690.0,115.0,,,,,,
2846-001,,,397.0,81.0,,,,,,
2847-001,,,,,,,,,,
2848-001,392.0,41.0,184.0,19.0,94.0,10.0,94.0,10.0,,
2849-001,512.0,64.0,456.0,57.0,,,,,,
2850-001,295.0,80.0,295.0,80.0,,,,,,
2862-001,,,,,,,,,,
2863-001,,,,,,,,,,
2864-001,,,,,,,,,,
2865-001,,,,,,,,,,
2866-001,17.0,5.0,3.0,1.0,,,,,,
2867-001,,,1163.0,147.0,582.0,73.0,,,582.0,73.0
2868-001,,,,,,,,,,
2872-001,,,,,,,,,,
2881-001,,,507.0,52.0,,,,,,
2882-001,244.0,62.0,244.0,62.0,,,,,,
2884-001,,,171.0,35.0,287.0,56.0,90.0,17.0,197.0,39.0
2885-001,,,156.0,33.0,,,,,,
2886-001,105.0,27.0,,,,,,,,
2887-001,,,,,,,,,,
2888-001,0.0,0.0,519.0,89.0,0.0,0.0,0.0,0.0,,
2892-001,1272.0,236.0,636.0,118.0,636.0,118.0,,,636.0,118.0
2900-001,858.0,75.0,1716.0,150.0,264.0,24.0,264.0,24.0,,
2901-001,626.0,84.0,611.0,81.0,,,,,,
2902-001,411.0,63.0,766.0,118.0,,,,,,
2903-001,625.0,137.0,1311.0,285.0,140.0,30.0,140.0,30.0,,
2904-001,206.0,58.0,,,,,,,,
2905-001,,,,,,,,,,
2906-001,331.0,56.0,331.0,56.0,,,,,,
2907-001,634.0,140.0,641.0,143.0,432.0,102.0,18.0,6.0,414.0,96.0
2919-001,382.0,105.0,298.0,84.0,,,,,,
2920-001,397.0,74.0,475.0,94.0,,,,,,
2921-001,543.0,82.0,1040.0,156.0,1045.0,157.0,472.0,70.0,573.0,87.0
2922-001,634.0,99.0,1131.0,177.0,,,,,,
2923-001,60.0,12.0,508.0,86.0,124.0,20.0,64.0,8.0,60.0,12.0
2924-001,,,129.0,50.0,,,,,,
2925-001,,,684.0,80.0,,,,,,
2926-001,1078.0,196.0,1069.0,192.0,,,,,,
2938-001,410.0,86.0,607.0,127.0,,,,,,
2939-001,263.0,64.0,263.0,64.0,,,,,,
2940-001,120.0,20.0,120.0,20.0,,,,,,
2941-001,,,183.0,58.0,,,,,,
2942-001,318.0,58.0,318.0,58.0,,,,,,
2943-001,528.0,140.0,222.0,56.0,352.0,86.0,170.0,41.0,182.0,45.0
2944-001,250.0,50.0,0.0,0.0,,,,,,
2945-001,,,,,,,,,,
2957-001,587.0,128.0,351.0,74.0,155.0,33.0,75.0,16.0,80.0,17.0
2958-001,112.0,35.0,,,,,,,,
2959-001,576.0,116.0,144.0,29.0,144.0,29.0,,,144.0,29.0
2960-001,,,188.0,39.0,252.0,57.0,252.0,57.0,,
2961-001,132.0,22.0,60.0,10.0,,,,,,
2962-001,274.0,74.0,73.0,19.0,,,,,,
2963-001,436.0,96.0,150.0,32.0,,,,,,
2964-001,139.0,25.0,139.0,25.0,,,,,,
2976-001,,,,,,,,,,
2977-001,,,10.0,8.0,,,,,,
2978-001,,,,,,,,,,
2979-001,,,,,,,,,,
2980-001,,,,,,,,,,
2981-001,,,,,,,,,,
2982-001,,,,,,,,,,
2983-001,21.0,7.0,123.0,33.0,12.0,2.0,,,12.0,2.0
2995-001,,,,,,,,,,
2996-001,78.0,13.0,78.0,13.0,78.0,13.0,,,78.0,13.0
2997-001,,,70.0,13.0,,,,,,
2998-001,115.0,20.0,115.0,20.0,,,,,,
2999-001,455.0,61.0,,,,,,,,
3000-001,130.0,25.0,130.0,25.0,8.0,2.0,8.0,2.0,,
3001-001,,,,,,,,,,
3002-001,,,,,,,,,,
3015-001,,,160.0,40.0,56.0,14.0,56.0,14.0,,
3016-001,197.0,51.0,77.0,21.0,,,,,,
3017-001,,,,,,,,,,
3018-001,91.0,23.0,111.0,27.0,,,,,,
3019-001,188.0,37.0,,,,,,,,
3020-001,76.0,19.0,164.0,57.0,130.0,47.0,130.0,47.0,,
3021-001,,,,,,,,,,
3022-001,57.0,14.0,,,39.0,9.0,,,39.0,9.0
3033-001,,,379.0,56.0,,,,,,
3034-001,1104.0,126.0,1104.0,126.0,,,,,,
3035-001,202.0,51.0,195.0,49.0,,,,,,
3037-001,,,,,,,,,,
3038-001,125.0,40.0,125.0,40.0,42.0,14.0,42.0,14.0,,
3039-001,320.0,63.0,302.0,60.0,640.0,126.0,320.0,63.0,320.0,63.0
3040-001,384.0,106.0,384.0,106.0,,,,,,
3042-001,1160.0,236.0,174.0,41.0,,,,,,
3052-001,12.0,1.0,251.0,50.0,24.0,2.0,24.0,2.0,,
3053-001,,,26.0,18.0,,,,,,
3054-001,,,,,,,,,,
3055-001,,,,,,,,,,
3056-001,,,,,,,,,,
3057-001,,,,,,,,,,
3058-001,,,277.0,77.0,54.0,6.0,54.0,6.0,,
3059-001,,,,,,,,,,
3071-001,569.0,99.0,569.0,99.0,1707.0,297.0,1138.0,198.0,569.0,99.0
3072-001,388.0,62.0,388.0,62.0,,,,,,
3073-001,124.0,28.0,124.0,28.0,,,,,,
3074-001,869.0,172.0,830.0,163.0,673.0,133.0,353.0,70.0,320.0,63.0
3075-001,264.0,44.0,132.0,22.0,,,,,,
3076-001,104.0,23.0,104.0,23.0,104.0,23.0,104.0,23.0,,
3077-001,714.0,136.0,671.0,128.0,146.0,29.0,146.0,29.0,,
3078-001,537.0,121.0,533.0,120.0,,,,,,
3090-001,,,66.0,18.0,,,,,,
3091-001,,,266.0,92.0,52.0,18.0,52.0,18.0,,
3092-001,164.0,37.0,164.0,37.0,,,,,,
3093-001,378.0,107.0,620.0,175.0,247.0,71.0,114.0,33.0,133.0,38.0
3094-001,476.0,119.0,476.0,119.0,328.0,82.0,164.0,41.0,164.0,41.0
3095-001,535.0,197.0,290.0,106.0,92.0,34.0,46.0,17.0,46.0,17.0
3096-001,442.0,110.0,884.0,220.0,,,,,,
3097-001,656.0,154.0,656.0,154.0,,,,,,
3109-001,,,1074.0,172.0,,,,,,
3110-001,336.0,45.0,,,,,,,,
3112-001,,,,,,,,,,
3113-001,,,,,,,,,,
3114-001,,,364.0,110.0,,,,,,
3115-001,360.0,122.0,180.0,61.0,,,,,,
3116-001,,,254.0,111.0,,,,,,
3117-001,574.0,119.0,516.0,131.0,,,,,,
3128-001,380.0,61.0,380.0,61.0,,,,,,
3129-001,660.0,110.0,660.0,110.0,162.0,27.0,162.0,27.0,,
3130-001,1566.0,288.0,783.0,144.0,,,,,,
3131-001,2176.0,332.0,2206.0,342.0,2146.0,322.0,2146.0,322.0,,
3132-001,123.0,15.0,,,,,,,,
3133-001,,,420.0,84.0,110.0,22.0,110.0,22.0,,
3134-001,413.0,107.0,323.0,77.0,180.0,60.0,180.0,60.0,,
3135-001,738.0,123.0,738.0,123.0,,,,,,
3147-001,70.0,16.0,76.0,18.0,85.0,21.0,,,85.0,21.0
3148-001,,,190.0,37.0,36.0,7.0,36.0,7.0,,
3149-001,,,478.0,95.0,127.0,31.0,,,127.0,31.0
3150-001,449.0,77.0,,,,,,,,
3151-001,595.0,77.0,595.0,77.0,,,,,,
3152-001,124.0,31.0,124.0,31.0,,,,,,
3153-001,66.0,11.0,49.0,7.0,98.0,14.0,98.0,14.0,,
3154-001,336.0,73.0,336.0,73.0,,,,,,
3166-001,,,411.0,157.0,259.0,111.0,,,259.0,111.0
3167-001,312.0,58.0,,,,,,,,
3168-001,,,4059.0,985.0,,,,,,
3169-001,414.0,69.0,828.0,138.0,,,,,,
3170-001,,,,,,,,,,
3171-001,,,1052.0,255.0,578.0,150.0,418.0,110.0,160.0,40.0
3172-001,,,279.0,49.0,,,,,,
3173-001,,,753.0,199.0,,,,,,
3185-001,431.0,174.0,584.0,236.0,580.0,203.0,580.0,203.0,,
3186-001,,,76.0,76.0,,,,,,
3187-001,990.0,159.0,990.0,159.0,,,,,,
3188-001,,,78.0,13.0,234.0,39.0,78.0,13.0,156.0,26.0
3189-001,540.0,135.0,540.0,135.0,,,,,,
3190-001,192.0,32.0,192.0,32.0,,,,,,
3191-001,,,91.0,21.0,,,,,,
3192-001,111.0,57.0,211.0,82.0,,,,,,
3204-001,418.0,60.0,328.0,45.0,328.0,45.0,320.0,43.0,8.0,2.0
3205-001,500.0,67.0,540.0,72.0,460.0,62.0,230.0,31.0,230.0,31.0
3206-001,398.0,90.0,73.0,10.0,,,,,,
3207-001,675.0,120.0,,,,,,,,
3208-001,469.0,90.0,367.0,72.0,109.0,21.0,,,109.0,21.0
3209-001,73.0,20.0,123.0,31.0,,,,,,
3210-001,276.0,39.0,276.0,39.0,,,,,,
3211-001,96.0,19.0,96.0,19.0,,,,,,
3223-001,382.0,53.0,237.0,33.0,,,,,,
3224-001,399.0,95.0,399.0,95.0,,,,,,
3225-001,,,170.0,170.0,,,,,,
3226-001,1144.0,230.0,3413.0,685.0,1113.0,223.0,,,1113.0,223.0
3227-001,656.0,83.0,656.0,83.0,264.0,32.0,132.0,16.0,132.0,16.0
3228-001,,,,,,,,,,
3229-001,,,48.0,8.0,,,,,,
3230-001,,,93.0,23.0,,,,,,
3242-001,,,,,,,,,,
3243-001,216.0,36.0,108.0,18.0,,,,,,
3244-001,36.0,6.0,60.0,10.0,,,,,,
3245-001,,,,,,,,,,
3246-001,50.0,11.0,30.0,12.0,,,,,,
3247-001,,,,,,,,,,
3248-001,,,132.0,32.0,,,,,,
3249-001,,,10.0,2.0,,,,,,
3261-001,415.0,77.0,296.0,50.0,,,,,,
3262-001,1160.0,167.0,1160.0,167.0,855.0,129.0,,,855.0,129.0
3263-001,554.0,120.0,470.0,106.0,470.0,106.0,470.0,106.0,,
3264-001,,,175.0,35.0,350.0,70.0,,,350.0,70.0
3265-001,530.0,145.0,610.0,135.0,,,,,,
3266-001,82.0,16.0,442.0,87.0,,,,,,
3267-001,333.0,58.0,333.0,58.0,,,,,,
3268-001,50.0,11.0,404.0,70.0,,,,,,
3280-001,,,,,,,,,,
3282-001,,,,,,,,,,
3283-001,,,,,,,,,,
3284-001,,,,,,,,,,
3285-001,,,,,,,,,,
3286-001,,,,,,,,,,
3287-001,,,,,,,,,,
3291-001,,,,,,,,,,
3299-001,,,,,,,,,,
3300-001,,,,,,,,,,
3301-001,,,,,,,,,,
3302-001,,,,,,,,,,
3304-001,,,,,,,,,,
3305-001,37.0,30.0,,,,,,,,
3306-001,,,,,,,,,,
3308-001,,,,,,,,,,
3319-001,,,,,,,,,,
3320-001,,,,,,,,,,
3321-001,,,,,,,,,,
3322-001,,,,,,,,,,
3323-001,,,,,,,,,,
3324-001,,,,,,,,,,
3325-001,105.0,53.0,,,,,,,,
3326-001,,,,,,,,,,
3337-001,,,,,,,,,,
3338-001,,,,,,,,,,
3339-001,,,,,,,,,,
3340-001,,,,,,,,,,
3341-001,,,,,,,,,,
3342-001,,,,,,,,,,
3343-001,,,,,,,,,,
3344-001,,,,,,,,,,
3356-001,,,,,,,,,,
3357-001,,,,,,,,,,
3358-001,,,,,,,,,,
3360-001,,,,,,,,,,
3362-001,,,,,,,,,,
3363-001,,,,,,,,,,
3364-001,,,,,,,,,,
3366-001,,,,,,,,,,
3375-001,,,,,,,,,,
3377-001,,,,,,,,,,
3378-001,,,,,,,,,,
3379-001,,,,,,,,,,
3380-001,,,,,,,,,,
3381-001,,,,,,,,,,
3385-001,,,,,,,,,,
3387-001,,,,,,,,,,
3394-001,,,,,,,,,,
3395-001,,,,,,,,,,
3396-001,,,,,,,,,,
3397-001,,,,,,,,,,
3398-001,,,,,,,,,,
3399-001,,,,,,,,,,
3400-001,,,,,,,,,,
3401-001,,,,,,,,,,
3413-001,,,,,,,,,,
3414-001,,,,,,,,,,
3415-001,,,,,,,,,,
3416-001,,,,,,,,,,
3417-001,,,,,,,,,,
3418-001,,,,,,,,,,
3419-001,,,392.0,58.0,,,,,,
3420-001,,,,,,,,,,
3432-001,,,,,,,,,,
3433-001,,,,,,,,,,
3434-001,,,,,,,,,,
3435-001,,,,,,,,,,
3436-001,,,,,,,,,,
3437-001,,,,,,,,,,
3438-001,,,,,,,,,,
3439-001,,,,,,,,,,
3451-001,,,,,,,,,,
3452-001,,,,,,,,,,
3454-001,,,,,,,,,,
3455-001,,,,,,,,,,
3456-001,,,,,,,,,,
3457-001,,,,,,,,,,
3461-001,,,,,,,,,,
3462-001,42.0,21.0,,,,,,,,
3470-001,,,,,,,,,,
3471-001,,,,,,,,,,
3472-001,,,,,,,,,,
3474-001,,,,,,,,,,
3476-001,,,,,,,,,,
3477-001,,,,,,,,,,
3478-001,,,,,,,,,,
3480-001,,,,,,,,,,
3489-001,,,,,,,,,,
3490-001,,,,,,,,,,
3491-001,,,,,,,,,,
3492-001,,,582.0,104.0,,,,,,
3493-001,,,,,,,,,,
3494-001,,,,,,,,,,
3495-001,107.0,65.0,63.0,40.0,62.0,42.0,62.0,42.0,,
3496-001,,,,,,,,,,
3508-001,,,,,,,,,,
3509-001,,,,,,,,,,
3510-001,,,,,,,,,,
3511-001,,,,,,,,,,
3512-001,,,,,,,,,,
3513-001,,,,,,,,,,
3514-001,,,,,,,,,,
3515-001,,,,,,,,,,
3527-001,,,,,,,,,,
3528-001,,,,,,,,,,
3530-001,,,,,,,,,,
3531-001,,,,,,,,,,
3532-001,,,,,,,,,,
3533-001,,,,,,,,,,
3534-001,,,,,,,,,,
3538-001,,,,,,,,,,
3546-001,,,236.0,58.0,,,,,,
3547-001,,,,,,,,,,
3548-001,,,,,,,,,,
3549-001,253.0,98.0,,,,,,,,
3550-001,,,,,,,,,,
3551-001,,,,,,,,,,
3552-001,,,,,,,,,,
3553-001,,,,,,,,,,
3565-001,,,,,,,,,,
3566-001,,,,,,,,,,
3567-001,,,,,,,,,,
3568-001,,,,,,,,,,
3569-001,,,,,,,,,,
3570-001,,,,,,,,,,
3571-001,,,,,,,,,,
3572-001,,,,,,,,,,
3584-001,,,,,,,,,,
3585-001,,,,,,,,,,
3586-001,,,,,,,,,,
3587-001,,,,,,,,,,
3588-001,,,,,,,,,,
3589-001,,,,,,,,,,
3590-001,,,,,,,,,,
3591-001,,,,,,,,,,
3603-001,167.0,56.0,171.0,60.0,144.0,21.0,144.0,21.0,,
3604-001,,,,,,,,,,
3605-001,148.0,27.0,,,,,,,,
3606-001,,,123.0,23.0,,,,,,
3607-001,124.0,16.0,124.0,16.0,,,,,,
3608-001,523.0,121.0,,,,,,,,
3609-001,,,3.0,3.0,75.0,27.0,75.0,27.0,,
3610-001,151.0,42.0,151.0,42.0,,,,,,
3622-001,576.0,102.0,439.0,78.0,,,,,,
3625-001,,,,,,,,,,
3626-001,,,,,,,,,,
3627-001,,,262.0,39.0,,,,,,
3628-001,,,0.0,0.0,,,,,,
3629-001,,,,,,,,,,
3630-001,,,627.0,70.0,,,,,,
3632-001,,,,,,,,,,
3641-001,273.0,45.0,248.0,47.0,,,,,,
3642-001,312.0,39.0,312.0,39.0,,,,,,
3643-001,1978.0,232.0,1990.0,235.0,,,,,,
3644-001,1132.0,164.0,1280.0,192.0,104.0,13.0,104.0,13.0,,
3645-001,,,232.0,33.0,,,,,,
3646-001,360.0,79.0,371.0,83.0,,,,,,
3647-001,,,594.0,166.0,,,,,,
3648-001,,,183.0,21.0,,,,,,
3660-001,53.0,10.0,70.0,13.0,,,,,,
3661-001,,,,,,,,,,
3662-001,450.0,120.0,1156.0,278.0,900.0,240.0,900.0,240.0,,
3663-001,306.0,54.0,306.0,54.0,,,,,,
3664-001,0.0,0.0,,,371.0,118.0,138.0,49.0,233.0,69.0
3665-001,0.0,28.0,0.0,28.0,,,,,,
3666-001,337.0,40.0,327.0,38.0,649.0,75.0,322.0,37.0,327.0,38.0
3667-001,,,491.0,91.0,,,,,,
3679-001,,,,,,,,,,
3682-001,0.0,0.0,,,,,,,,
3684-001,,,,,,,,,,
3685-001,,,,,,,,,,
3686-001,,,,,,,,,,
3687-001,14.0,3.0,296.0,57.0,,,,,,
3689-001,,,,,,,,,,
3690-001,,,,,,,,,,
3698-001,,,63.0,9.0,,,,,,
3699-001,96.0,12.0,,,,,,,,
3700-001,,,,,,,,,,
3701-001,,,,,,,,,,
3702-001,20.0,4.0,40.0,8.0,20.0,4.0,20.0,4.0,,
3703-001,225.0,45.0,120.0,30.0,21.0,7.0,21.0,7.0,,
3704-001,,,245.0,33.0,,,,,,
3705-001,,,73.0,21.0,,,,,,
3717-001,,,830.0,136.0,,,,,,
3718-001,322.0,52.0,317.0,51.0,,,,,,
3719-001,817.0,117.0,816.0,116.0,,,,,,
3720-001,1074.0,184.0,1239.0,215.0,366.0,62.0,366.0,62.0,,
3721-001,1041.0,150.0,1181.0,178.0,,,,,,
3722-001,839.0,99.0,834.0,102.0,,,,,,
3723-001,1424.0,200.0,1415.0,191.0,1230.0,171.0,138.0,23.0,1092.0,148.0
3724-001,290.0,45.0,296.0,48.0,486.0,70.0,200.0,27.0,286.0,43.0
3736-001,,,,,,,,,,
3737-001,,,,,,,,,,
3738-001,230.0,31.0,230.0,31.0,,,,,,
3739-001,1378.0,261.0,628.0,133.0,325.0,68.0,325.0,68.0,,
3740-001,1232.0,204.0,1313.0,219.0,24.0,8.0,24.0,8.0,,
3741-001,576.0,101.0,639.0,118.0,,,,,,
3742-001,414.0,107.0,414.0,107.0,,,,,,
3743-001,,,490.0,103.0,,,,,,
3755-001,,,160.0,29.0,,,,,,
3756-001,,,,,,,,,,
3757-001,,,,,,,,,,
3758-001,624.0,104.0,678.0,113.0,,,,,,
3759-001,,,,,,,,,,
3760-001,,,362.0,61.0,,,,,,
3761-001,,,,,,,,,,
3762-001,,,,,,,,,,
3774-001,226.0,58.0,226.0,58.0,,,,,,
3775-001,754.0,121.0,754.0,121.0,,,,,,
3776-001,269.0,54.0,269.0,54.0,,,,,,
3777-001,912.0,123.0,450.0,64.0,,,,,,
3778-001,400.0,89.0,382.0,82.0,,,,,,
3779-001,180.0,30.0,456.0,72.0,,,,,,
3780-001,,,240.0,72.0,,,,,,
3781-001,428.0,71.0,856.0,142.0,,,,,,
3793-001,,,,,,,,,,
3794-001,184.0,34.0,184.0,34.0,64.0,12.0,64.0,12.0,,
3795-001,228.0,46.0,228.0,46.0,,,,,,
3796-001,,,688.0,104.0,,,,,,
3797-001,808.0,170.0,664.0,125.0,,,,,,
3798-001,165.0,31.0,165.0,31.0,,,,,,
3799-001,,,814.0,139.0,,,,,,
3800-001,283.0,63.0,,,,,,,,
3812-001,608.0,135.0,608.0,135.0,,,,,,
3814-001,,,,,,,,,,
3815-001,,,220.0,52.0,,,,,,
3816-001,21.0,18.0,24.0,24.0,,,,,,
3817-001,96.0,12.0,,,,,,,,
3818-001,,,44.0,7.0,,,,,,
3819-001,22.0,4.0,,,,,,,,
3822-001,,,,,,,,,,
3831-001,368.0,73.0,322.0,63.0,,,,,,
3832-001,192.0,36.0,182.0,34.0,,,,,,
3833-001,198.0,33.0,,,,,,,,
3834-001,573.0,87.0,552.0,84.0,,,,,,
3835-001,241.0,47.0,634.0,118.0,,,,,,
3836-001,823.0,186.0,862.0,194.0,,,,,,
3837-001,293.0,77.0,327.0,80.0,,,,,,
3838-001,780.0,135.0,780.0,135.0,,,,,,
3850-001,24.0,6.0,,,,,,,,
3851-001,327.0,60.0,277.0,50.0,,,,,,
3852-001,1738.0,227.0,998.0,133.0,,,,,,
3854-001,597.0,124.0,587.0,122.0,255.0,45.0,170.0,30.0,85.0,15.0
3855-001,605.0,96.0,593.0,94.0,,,,,,
3856-001,,,287.0,74.0,67.0,21.0,,,67.0,21.0
3857-001,,,22.0,18.0,,,,,,
3859-001,251.0,79.0,228.0,75.0,115.0,39.0,115.0,39.0,,
3869-001,102.0,18.0,108.0,19.0,,,,,,
3870-001,566.0,58.0,566.0,58.0,,,,,,
3871-001,279.0,40.0,285.0,39.0,218.0,29.0,,,218.0,29.0
3872-001,390.0,81.0,624.0,134.0,271.0,59.0,117.0,26.0,154.0,33.0
3873-001,3162.0,414.0,3162.0,414.0,,,,,,
3874-001,,,398.0,50.0,,,,,,
3875-001,,,695.0,139.0,,,,,,
3876-001,199.0,33.0,246.0,39.0,,,,,,
